,full_state,bill_name,legiscan_summary
55,Idaho,SB1016,"GOVERNMENT -- Amends existing law to provide that a public works contractor shall not be required to provide access to a multiple-occupancy restroom, multiple-occupancy shower facility, or multiple-occupancy changing room on any basis other than sex."
56,Idaho,HB71,VULNERABLE CHILD PROTECTION ACT -- Adds to existing law to establish provisions regarding vulnerable child protection.
57,Idaho,SB1100,EDUCATION -- Adds to existing law to establish privacy and safety standards in public schools.
58,Idaho,HB63,"COUNSELORS AND THERAPISTS -- Adds to existing law to provide that no counselor or therapist will be required to counsel or serve a client regarding goals, outcomes, or behaviors that conflict with the sincerely held principles of the counselor or therapist."
59,Idaho,SB1071,"EDUCATION -- Amends existing law to prohibit instruction on human sexuality, sexual orientation, or gender identity prior to fifth grade."
60,Idaho,HB265,"SEXUAL EXHIBITIONS -- Adds to existing law to provide that certain persons and institutions must take reasonable steps to restrict the access of minors in certain instances, to provide for a civil action in certain instances, and to prohibit the use of public facilities and public assets for sexual exhibitions."
61,Indiana,HB1118,"Prohibited services relating to care of minors. Prohibits specified health care professionals from: (1) performing, or causing to be performed, certain medical procedures on a minor; or (2) subjecting a minor to certain activities that purposely attempt to change, reinforce, or affirm a minor's perception of the minor's own sexual attraction or sexual behavior, or attempt to change, reinforce, or affirm a minor's gender identity when the identity is inconsistent with the minor's biological sex."
62,Indiana,HB1220,Gender transition procedures for minors. Prohibits a physician or other practitioner from knowingly providing gender transition procedures to an individual who is less than 18 years of age (minor) that are intended to alter the gender of the minor or delay puberty. Provides for certain medical exceptions. Establishes civil enforcement actions.
63,Indiana,HB1231,"Gender transition procedures for minors. Prohibits specified health care professionals from providing gender transition procedures to a minor that are intended to alter the gender of the minor or delay puberty. Provides for certain medical exceptions. Prohibits public funds, Medicaid, or a health carrier from providing reimbursement or coverage for gender transition procedures to a minor. Creates a civil cause of action. Makes conforming changes."
64,Indiana,HB1232,"Child removal and gender identity. Provides that the department of child services may not classify a report of child abuse or neglect as substantiated, and a child may not be removed from the child's parent, guardian, or custodian, solely on the basis of the parent, guardian, or custodian: (1) referring to and raising the child consistent with the child's biological sex; or (2) declining to consent to the child receiving: (A) specified medication; (B) a medical procedure the purpose of which is to alter the apparent gender or sex of the child or affirm the child's perception of the child's gender or sex in a manner inconsistent with the child's biological sex; or (C) counseling or other mental health services the purpose of which is to affirm the child's perception of the child's gender or sex if the child's perception is inconsistent with the child's biological sex."
65,Indiana,SB354,"Education matters. Provides that a: (1) school that seeks state accreditation; and (2) national or regional accreditation agency that seeks to be recognized by the state board of education (state board); must complete and submit the applicable application form established by the state board. Requires the state board to do the following: (1) Not later than six months after the date a completed application is submitted, approve or deny the accreditation or recognition. (2) If the state board denies an accreditation or recognition, send notice to the school or national or regional accreditation agency stating the reasons for the denial. Requires the department of education to post a copy of the application forms on the department's website. Requires a public school, including a charter school, to notify the parent of an unemancipated minor, if the student: (1) makes a certain disclosure concerning the student's gender identity or gender expression to an employee or staff member of the school; or (2) changes, expresses a desire to change, or makes a request to change the student's name, attire, or pronoun, title, or word to identify the student in a manner that is inconsistent with the student's biological sex at birth. Requires an employee or staff member of a school to report to the school a disclosure or information described in these provisions to the school."
66,Indiana,SB351,"Designation of sex on birth certificate. Defines ""sex"" for purposes of birth certificates."
67,Indiana,HB1525,"Prohibited health care for minors. Prohibits specified health care professionals from: (1) performing certain medical procedures on a minor; or (2) prescribing, administering, or furnishing certain drugs to a minor; that purposely attempt to change, reinforce, or affirm a minor's perception of the minor's own sexual attraction or sexual behavior, or attempt to change, reinforce, or affirm a minor's gender identity when the identity is inconsistent with the minor's biological sex."
68,Indiana,SB480,Gender transition procedures for minors. Prohibits a physician or other practitioner from: (1) knowingly providing gender transition procedures to an individual who is less than 18 years of age (minor); and (2) aiding or abetting another physician or practitioner in the provision of gender transition procedures to a minor. Specifies certain medical exceptions. Establishes civil enforcement actions.
69,Indiana,HB1407,"Parental rights. Provides that the state of Indiana, a political subdivision or other governmental entity of the state of Indiana, a government official, or any other person acting under the color of law shall not infringe on the fundamental right of a parent to direct the upbringing, education, health care, and mental health of the parent's child without demonstrating that the infringement: (1) is required by a compelling governmental interest of the highest order as long recognized in the history and traditions of the state of Indiana; and (2) as applied to the child, is narrowly tailored and not otherwise served by a less restrictive means. Creates a right of action for violation of a parent's rights with respect to the upbringing, education, and health care of the parent's child. Provides that a child is not a child in need of services due to the child's parent, guardian, or custodian: (1) referring to and raising the child consistent with the child's biological sex; or (2) declining to consent to the child receiving: (A) specified medication; (B) a medical procedure the purpose of which is to alter the apparent gender or sex of the child or affirm the child's perception of the child's gender or sex in a manner inconsistent with the child's biological sex; or (C) counseling or other mental health services the purpose of which is to affirm the child's perception of the child's gender or sex if the child's perception is inconsistent with the child's biological sex. Provides that if the juvenile court finds that a child is a child in need of services because the child substantially endangers the child's own or another's health, the court shall release the child to the child's parent, guardian, or custodian and may not enter a dispositional decree ordering removal of the child, unless: (1) the court also finds that the child is a child in need of services for another reason; or (2) the parent, guardian, or custodian consents to the child being removed from the child's home. Specifies that the parental rights and responsibilities do not: (1) authorize a parent to: (A) abuse or neglect a child; or (B) make the decision to end the child's life; or (2) prohibit a court from issuing an order that is otherwise permitted by law. Makes conforming changes."
70,Indiana,HB1569,"Restrictions on DOC provision of gender therapy. Provides that the department of correction may not authorize the payment of any money, the use of any state resources, or the payment of any federal money administered by the state to provide or facilitate the provision of sexual reassignment surgery to an offender patient."
71,Indiana,HB1589,Malpractice regarding gender therapeutics. Allows a claimant to bring a medical malpractice claim regarding gender transition treatment within 15 years after the individual becomes 21 years of age.
72,Indiana,HB1520,Use of public restrooms. Makes it a Class B misdemeanor if: (1) a male knowingly or intentionally enters a restroom that is designated to be used only by females; or (2) a female knowingly or intentionally enters a restroom that is designated to be used only by males. Provides for certain defenses.
73,Indiana,SB386,"Dignity and nondiscrimination in education. Provides that a school corporation or qualified school shall not promote certain concepts as part of a course of instruction or in a curriculum or instructional program, or allow teachers or other employees to use supplemental learning materials to promote certain concepts regarding age, sex, gender identity, sexual orientation, race, creed, color, marital status, familial status, mental or physical disability, religion, or national origin. Requires a request to meet with a teacher for certain complaints. Requires each school corporation or qualified school to establish grievance procedures for certain complaints. Provides that, if a parent of a student or a student, if the student is an adult or an emancipated minor, is not satisfied with a final decision, the parent or student may submit a request to the secretary of education (secretary) to review the complaint and decision. Provides that the secretary's decision is a final order and is appealable. Requires the department of education to create guidance materials and professional development materials for use by school corporations, qualified schools, and teachers."
74,Indiana,SB413,"Parental rights in education. Requires a governing body of a school corporation to adopt procedures to require schools to notify a parent of an unemancipated minor student regarding the: (1) student's services, support, or monitoring related to the student's social emotional, behavioral, mental, or physical health; or (2) school's ability to provide a safe and supportive learning environment for the student. Establishes requirements and restrictions regarding the procedures. Prohibits school corporation personnel or a third party vendor that contracts with a school corporation from providing instruction on sexual orientation or gender identity: (1) to any students of the school corporation enrolled in kindergarten through grade 12; or (2) in a manner that is not age appropriate or developmentally appropriate for students in accordance with state law. Establishes requirements regarding: (1) student support services training; (2) notifying parents of social emotional, behavioral, mental, and physical health services or support offered by a school corporation and the parent's option to withhold consent or decline any of those health services or support; and (3) administering a social emotional, behavioral, mental, or physical health personal analysis or evaluation, questionnaire, screening, survey, or assessment to an unemancipated minor student enrolled in kindergarten through grade 12. Requires a school corporation to notify the parent of each student enrolled in a school maintained by the school corporation if the school corporation permits a student of that school to use a multiple occupancy restroom or locker room that is designated for a sex that is not the student's biological sex. Requires a school corporation to: (1) establish a grievance procedure for a violation of the provisions; and (2) post the grievance procedure on the school corporation's website. Provides that a parent who is not satisfied with a decision by a school principal or principal's designee regarding a complaint by the parent may request the department of education (department) to review the complaint and decision. Provides that a parent of a student may bring a civil action against the school corporation for a violation of the provisions. Requires, not later than May 30, 2024, the department to adopt or update, as necessary and as approved by the state board of education, certain student services, personnel guidelines, standards, frameworks, practices, and principles."
75,Indiana,HB1608,"Education matters. Provides that a school, an employee or staff member of a school, or a third party vendor used by a school to provide instruction may not provide any instruction to a student in prekindergarten through grade 3 on human sexuality. Provides that a school employee or a school staff member is not prohibited from responding to a question from a student regarding certain topics. Requires certain schools to obtain consent from at least one parent of an unemancipated minor student regarding a request made by the student to change the student's name or pronoun, title, or word to identify the student. Provides that a school may not discipline an employee or staff member of the school for using a name, pronoun, title, or other word to identify a student that is consistent with the student's legal name if the employee or staff members does so out of a religious conviction."
76,Indiana,HB1346,"Gender fluidity. Provides that a school may not promote or encourage the use of, or require, compel, or coerce a student, an employee of the school, or a staff member of the school to use: (1) a pronoun, title, or other word to identify a student, school employee, or other individual that is inconsistent with the student's, employee's, or individual's biological sex; or (2) a name or nickname to identify a student that is inconsistent with the student's name on the student's birth certificate. Creates an exception. Provides that a school may not require an employee or a staff member of the school to adopt, support, or promote gender fluidity."
77,Indiana,HB1524,Birth certificate information. Provides that the gender listed on an individual's birth certificate and permanent record made from the birth certificate may not be changed. Specifies certain exceptions.
78,Indiana,SB487,"Preventing pregnancy in prison. Provides that the department of correction shall assign an offender, including a delinquent offender, to a facility or program that is based on the offender's biological sex at birth in accordance with the offender's genetics and reproductive biology."
79,Iowa,SF83,"A bill for an act relating to instruction relating to gender identity in the curriculum provided to students enrolled in kindergarten through grade eight in school districts, accredited nonpublic schools, and charter schools and creating a private cause of action."
80,Iowa,HF8,A bill for an act prohibiting instruction related to gender identity and sexual orientation in school districts and charter schools in kindergarten through grade three.(See HF 348.)
81,Iowa,HF9,A bill for an act relating to parental and guardian consent and information regarding the gender identity of students enrolled in a school district or charter school.(See HF 180.)
82,Iowa,SF110,"A bill for an act relating to gender-transition procedures, and including effective date provisions."
83,Iowa,SF129,"A bill for an act relating to actions relative to treatment or intervention regarding the discordance between a minor's sex and gender identity, and providing civil penalties."
84,Iowa,SF159,"A bill for an act relating to education, including modifying the responsibilities of the state board of education and school districts, prohibiting instruction related to gender identity or sexual orientation in school districts and charter schools in kindergarten through grade eight, modifying provisions associated with the human growth and development instruction and health screenings provided in school districts, charter schools, and innovation zone schools, and providing civil penalties."
85,Iowa,HF180,A bill for an act relating to parental and guardian consent and information regarding the gender identity of students enrolled in a school district or charter school.(Formerly HF 9.)
86,Iowa,HF190,A bill for an act relating to gender under the Iowa civil rights Act.
87,Iowa,SF212,"A bill for an act prohibiting discrimination against adoption and foster care providers, or adoptive and foster parents, based on religious belief."
88,Iowa,HF229,"A bill for an act relating to the standard of judicial review and providing a claim or defense when a state action burdens a person's exercise of religion, and including effective date provisions."
89,Iowa,HF325,"A bill for an act relating to the standard of judicial review and providing a claim or defense when a state action burdens a person's exercise of religion, and including effective date provisions."
90,Iowa,HF290,"A bill for an act relating to the standard of judicial review and providing a claim or defense when a state action burdens a person's exercise of religion, and including effective date provisions."
91,Iowa,SSB1145,"A bill for an act relating to the standard of judicial review and providing a claim or defense when a state action burdens a person's exercise of religion, and including effective date provisions."
92,Iowa,SF335,"A bill for an act relating to the standard of judicial review and providing a claim or defense when a state action burdens a person's exercise of religion, and including effective date provisions."
93,Iowa,SF297,"A bill for an act relating to the standard of judicial review and providing a claim or defense when a state action burdens a person's exercise of religion, and including effective date provisions."
94,Iowa,HF348,A bill for an act prohibiting instruction related to gender identity and sexual orientation in school districts and charter schools in kindergarten through grade six. (Formerly HF 8.)
95,Iowa,SF348,"A bill for an act relating to minors present at drag shows, and providing penalties."
96,Iowa,SSB1197,"A bill for an act relating to prohibited activities regarding gender transition procedures relative to minors, and including effective date and applicability provisions.(See SF 538.)"
97,Iowa,HSB214,"A bill for an act relating to prohibited activities regarding gender transition procedures relative to minors, and including effective date and applicability provisions.(See SF 538.)"
98,Iowa,HSB222,"A bill for an act relating to children and students, including establishing a parent's or guardian's right to make decisions affecting the parent's or guardian's child, modifying provisions related to student health screenings and the curriculum in school districts, accredited nonpublic schools, and charter schools, other duties of school districts, competent private instruction, and special education, making appropriations, and providing civil penalties."
99,Iowa,HF482,A bill for an act prohibiting persons from entering single and multiple occupancy toilet facilities in elementary and secondary schools that do not correspond with the person's biological sex.
100,Iowa,HSB208,"A bill for an act permitting public schools to designate and allow the use of restrooms and changing facilities only by persons of the same biological sex, and providing a private cause of action.(See HF 622.)"
101,Iowa,HF508,A bill for an act protecting religious liberty and state sovereignty relating to marriage.
102,Iowa,HF622,"A bill for an act permitting public schools to designate and allow the use of restrooms and changing facilities only by persons of the same biological sex, and providing a private cause of action.(Formerly HSB 208.)"
103,Iowa,SF496,"A bill for an act relating to children and students, including establishing a parent's or guardian's right to make decisions affecting the parent's or guardian's child, prohibiting instruction related to gender identity and sexual orientation in school districts, charter schools, and innovation zone schools in kindergarten through grade six, and modifying provisions related to student health screenings, school district library programs, the educational program provided to students enrolled in school districts, accredited nonpublic schools, and charter schools, other duties of school districts and the governing boards of charter schools and innovation zone schools, competent private instruction, and special education. (Formerly SSB 1145.)"
104,Iowa,SF482,A bill for an act prohibiting persons from entering single and multiple occupancy restrooms or changing areas and other facilities in elementary and secondary schools that do not correspond with the person's biological sex and including effective date provisions. (Formerly SF 335.) Effective date: 03/22/2023.
105,Iowa,HF623,"A bill for an act relating to prohibited activities regarding gender transition procedures relative to minors, and including effective date and applicability provisions.(Formerly HSB 214.)"
106,Iowa,HF616,"A bill for an act prohibiting institutions of higher learning governed by the state board of regents from expending moneys to fund diversity, equity, and inclusion offices or to hire individuals to serve as diversity, equity, and inclusion officers, creating a private cause of action, and including effective date provisions.(Formerly HSB 218.)"
107,Iowa,SF538,"A bill for an act relating to prohibited activities regarding gender transition procedures relative to minors, and including effective date and applicability provisions. (Formerly SSB 1197.) Effective date: 03/22/2023. Contingent applicability date."
108,Kansas,SB12,Enacting the Kansas child mutilation prevention act to criminalize performing gender reassignment surgery or prescription of hormone replacement therapy on certain persons and providing grounds for unprofessional conduct for healing arts licensees.
109,Kansas,HB2238,Creating the fairness in women's sports act to require that female student athletic teams only include members who are biologically female.
110,Kansas,SB149,Expanding the crime of promoting obscenity to minors to include drag performances.
111,Kansas,SB180,Establishing the women's bill of rights to provide a meaning of biological sex for purposes of statutory construction.
112,Kansas,SB201,Prohibiting the expenditure of state moneys for the production or performance of drag shows for which minors are the primary audience.
113,Kansas,SB207,Requiring policies for and establishing restrictions on school districts with regard to the use of an individual's pronouns if such pronouns differ from the individual's biological sex.
114,Kansas,SB224,"Enacting the Kansas protection of pensions and businesses against ideological interference act, relating to ideological boycotts involving environmental, social or governance standards, requiring KPERS to divest from and prohibiting state contracts or the deposit of state moneys with entities engaged in such boycotts as determined by the state treasurer and prohibiting discriminatory practices in the financial services industry based on such boycotts."
115,Kansas,SB233,Creating a civil cause of action against a physician who performs childhood gender reassignment service and requiring revocation of a physician's license who performs childhood gender reassignment service.
116,Kansas,HB2404,"Enacting the Kansas protection of pensions and businesses against ideological interference act, relating to ideological boycotts involving environmental, social or governance standards, requiring KPERS to divest from and prohibiting state contracts or the deposit of state moneys with entities engaged in such boycotts as determined by the state treasurer and prohibiting discriminatory practices in the financial services industry based on such boycotts."
117,Kansas,SB255,Requiring school districts to provide separate accommodations for students of each biological sex on overnight school sponsored trips.
118,Kansas,HB2427,Requiring school districts to provide separate accommodations for students of each biological sex on overnight school sponsored trips.
119,Kansas,SB228,"Requiring the secretary for aging and disability services to reimburse counties for certain costs when a person is in a county jail awaiting examination, evaluation or treatment for competency, modernizing statutes concerning county jails, removing the requirement that every county shall have a jail, modifying procedures used when district courts commit prisoners to jail in another county and when counties contract with city jails to keep prisoners and requiring a medical examination before certain United States prisoners or city prisoners are taken into custody of a county jail."
120,Kansas,HB2263,"Authorizing pharmacy technicians to administer certain vaccines, creating a civil cause of action against a physician and requiring revocation of a physician's license who performs a childhood gender reassignment service."
121,Kentucky,HB120,"Authorizing pharmacy technicians to administer certain vaccines, creating a civil cause of action against a physician and requiring revocation of a physician's license who performs a childhood gender reassignment service."
122,Kentucky,HB58,Create new sections of KRS Chapter 344 to define terms; prohibit discrimination against medical care providers who decline to perform procedures that violate their conscience; grant providers the right not to participate in or pay for services that violate their conscience; exempt providers from liability for exercising these rights; establish a civil cause of action for persons injured by violations of these provisions; EMERGENCY.
123,Kentucky,HB30,"Create new sections of KRS Chapter 158 to define terms; establish legislative findings; ensure that student privacy exists in school restrooms, locker rooms, and shower rooms; require students born male to use only those facilities designated to be used by males and students born female to use only those facilities designated to be used by females; require schools to provide the best available accommodation to students who assert that their gender is different from their biological sex; identify consequences for using facilities designated for the opposite biological sex; EMERGENCY."
124,Kentucky,HB177,"Create new sections of KRS Chapter 405 to establish definitions; provide for parental rights; establish that no governmental entity shall substantially burden the rights of parents unless required by a compelling governmental interest of the highest order and in the least restrictive means; establish specific rights of parents, with some limitations; provide that specific governmental employees shall not encourage or coerce a child to withhold information from a parent; recognize additional rights beyond those enumerated; require local boards of education or boards of directors of public charter schools to adopt specific policies to promote involvement of parents in education; allow the Kentucky Department of Education to provide consultation and model policies that shall not be binding on schools; require a report from the Kentucky Department of Education on the consultation and model policies provided to schools; require obtaining parental consent prior to procuring, soliciting to perform, arranging for the performance of, providing a referral for, or providing medical or mental health services to a child; require verification of identity for remote parental consent; establish limits of the applicability of the requirement; establish a cause of action for violation; establish terms and conditions for the cause of action; waive sovereign, governmental, and qualified immunity; specify applicability; amend KRS 160.715 to provide a procedure for requesting, inspecting, and reviewing specific information held by a school district or public charter school; and amend KRS 214.185 to establish the conditions required for providing medical or mental health services to a minor without consent of the parent or legal guardian; EMERGENCY."
