state_code,state_name,bill_name,keep,source,summary
AR,Arkansas,HB1468,1,https://openstates.org/ar/bills/2023/HB1468/,"This bill prohibits requiring employees of public schools and state-supported institutions of higher education to use a person's preferred pronoun, name, or title without parental consent."
AR,Arkansas,SB294,1,fast democracy,"This bill is a comprehensive education reform bill formally known as the ""LEARNS Act."" This act creates Educational Freedom Accounts, provides new opportunities for students to receive tutoring, implements career ready pathways to a high school diploma, raises teacher pay, and modifies the Philanthropic Investment in Arkansas Kids Program. Money placed in the Educational Freedom Accounts follows the student based on the school the child is enrolled in and is to be used for the child's education. The money placed in the account and used for the child's education is not taxable in the state to either the parent or child. The money placed in the account also cannot be claimed as a tax credit, deduction, exemption, or rebate. SB294 increases the credits available in the first year from $2,000,000 to $6,000,000. Once the credits claimed exceed 90% of the total available in a particular year, SB294 requires the amount of the credit available to increase by 5% for each following year. SB294 contains an emergency clause for the changes to the Philanthropic Investment in Arkansas Kids Program and will be effective on the date of its approval by the Governor; the expiration of the time during which the Governor may veto the bill; or the date the last house overrides the veto."
AZ,Arizona,SB1040,1,fast democracy,"This bill requires a public school to provide access to a single-occupancy or employee restroom or changing facility to a person who is unwilling or unable to use a multi-occupancy restroom or changing facility designated for the person's sex or multi-occupancy sleeping quarters. Grants a private cause of action, against the public school, to a person who encounters a person of the opposite sex in specified areas. It designates this legislation as the Arizona Accommodations for All Children Act (Act)."
AZ,Arizona,HB2711,1,handwritten,"This bill requires an employee or independent contractor of a school district to disclose within a 48 hour time period any information a student discloses to them to their parents or guardians if the information relates to a student's gender, gender identity, pronouns, sexuality, sexual identity, etc. Any other disclosures are allowed upon request from the parent or guardian of the child. "
AZ,Arizona,SB1028,1,fast democracy,This bill prohibits a person or business from engaging in an adult cabaret performance on public property or in a location where the person knows or has reason to know that the performance could be viewed by a minor.
AZ,Arizona,SB1702,0,,
AZ,Arizona,SB1417,1,fast democracy,This bill requires school district and charter school policies and guidelines to include prescribed provisions for situations in which a child with a disability wears a diaper and requires assistance to change the diaper.
AZ,Arizona,SB1698,1,fast democracy,This bill establishes the offense of unlawful exposure to an adult oriented performance or business and classifies a violation as a class 4 felony.
AZ,Arizona,SB1030,1,fast democracy,"This bill requires, rather than allows, the county board of supervisors (county BOS) to provide for the regulation and use of adult oriented business licenses and permits in conjunction with establishments that conduct sexually explicit performances. Subjects a sexually explicit performance to the prohibitions relating to an adult oriented business.  "
AZ,Arizona,SB1700,1,fast democracy,"This bill requires the Arizona Department of Education (ADE) to maintain a list of books that public educational institutions may not use or make available to students, including books that are lewd or sexual, promote gender fluidity or gender pronouns or groom children into normalizing pedophilia. Grants parents the right to request removal of school district (district) or charter school library or classroom materials, extends public review periods for library materials and district textbooks and removes exceptions from district curriculum approval and school library access requirements."
AZ,Arizona,SB1694,1,fast democracy,"This bill prohibits a public entity from requiring and spending public monies on a diversity, equity and inclusion program and allows an employee who is required to participate in the program to bring action against the public entity."
AZ,Arizona,SB1026,1,fast democracy,This bill prohibits the use of state monies and federal monies passing through the state treasury by any person or entity for a drag show targeting minors. Prohibits the use of private monies by a public body for a drag show targeting minors and prohibits a person in violation from receiving or spending any state monies for 36 months.
AZ,Arizona,SB1001,1,fast democracy,"This bill prohibits a school district or charter school employee or independent contractor from, without parental permission, knowingly referring to a student under 18 years old by a pronoun that differs from the pronoun that aligns with the person's biological sex or a first name that is not listed in school records. Precludes a school district or charter school from requiring an employee or independent contractor to use a pronoun that differs from a person's biological sex if doing so is contrary to their convictions."
CA,California,AB1314,1,fast democracy,"This bill would, notwithstanding the consent provisions described above, provide that a parent or guardian has the right to be notified in writing within 3 days from the date any teacher, counselor, or employee of the school becomes aware that a pupil is identifying at school as a gender that does not align with the child's sex on their birth certificate, other official records, or sex assigned at birth, using sex-segregated school programs and activities, including athletic teams and competitions, or using facilities that do not align with the child's sex on their birth certificate, other official records, or sex assigned at birth. The bill would state legislative intent related to these provisions. By imposing additional duties on public school officials, the bill would impose a state-mandated local program. The California Constitution requires the state to reimburse local agencies and school districts for certain costs mandated by the state. Statutory provisions establish procedures for making that reimbursement. This bill would provide that, if the Commission on State Mandates determines that the bill contains costs mandated by the state, reimbursement for those costs shall be made pursuant to the statutory provisions noted above."
CO,Colorado,HB23-1098,1,fast democracy,"The bill requires any intercollegiate, interscholastic, intramural, or club athletic team, sport, or athletic event to be designated as one of the following, based on the biological sex at birth of the participating students: Male, female, or coeducational. Male and female athletes may only participate on teams designated to their respective sexes. The bill prohibits a governmental entity from investigating a complaint or taking any adverse action against a public school, school district, activities association or organization, institution of higher education, or any employee or governing board member for complying with the bill. The bill creates a cause of action for a student, school, or institution that suffers harm as a result of noncompliance with the bill. There is also a cause of action for a student who suffers retaliation for reporting violations of the bill. The statutes of limitations for the causes of action are 2 years and a prevailing party is entitled to reasonable attorney fees. The attorney general is required to provide legal representation to a school, school district, association, or institution of higher education that is sued for complying with the bill."
CT,Connecticut,SB468,1,fast democracy,This bill provides civil immunity for interscholastic athletic organizations and the sanctioning bodies of private youth organizations when such entities adopt policies that require an athletic participant to compete on a team that matches the gender identity on the person's birth certificate.
CT,Connecticut,HB6213,1,fast democracy,This bill eliminates unfair competition in women's interscholastic sporting competition by prohibiting student athletes who were born as males from participating in women's interscholastic athletic events. 
FL,Florida,SB1320,1,fast democracy,"This bill includes provisions designed to protect children in public schools. The bill includes requirements for age-appropriate and developmentally appropriate instruction for all students in prekindergarten through grade 12. The bill includes requirements for specific terminology and instruction relative to health and reproductive education in schools. Additionally, the bill extends the prohibition on classroom instruction on sexual orientation or gender identity to prekindergarten through grade 8. The bill enhances the process for transparency and review of library and classroom materials available to students in public schools and the process for parents to make objections to materials. The bill requires the suspension of materials alleged to contain pornography or materials harmful to minors as identified in current law pending resolution of an objection to the material."
FL,Florida,SB254,1,fast democracy,"This bill creates regulations relating to sex-reassignment prescriptions or procedures, as that term is defined in the bill. The bill creates a new section of statute relating to the Uniform Child Custody Jurisdiction and Enforcement Act regarding court jurisdiction. This bill also prohibits the expenditure of state funds by specified entities for sex-reassignment prescriptions or procedures. This bill prohibits sex-reassignment prescriptions or procedures for patients younger than 18 years of age, except that prescription treatments may continue for such patients whose treatment was commenced before, and is still active on, the bill’s effective date, under specified parameters. Additionally, this bill creates requirements for voluntary, informed consent that must be met in order for a patient 18 years of age or older to be treated with sex-reassignment prescriptions or procedures. This bill also provides that only allopathic or osteopathic physicians may provide sex-reassignment prescriptions or procedures and creates criminal penalties for the provision of sex-reassignment prescriptions or procedures in violation of the bill’s prohibition or requirements. This bill also provides that a practitioner who is arrested for the crime of providing sex-reassignment prescriptions or procedures to a patient younger than 18 years of age may have his or her license suspended via emergency order of the Department of Health (DOH) and requires that any hospital, ambulatory surgical center, or physician’s office registered for the provision of office surgery, must provide a signed attestation to the Agency for Health Care Administration (AHCA) or the DOH, as applicable, that the facility or office does not offer or provide sex-reassignment prescriptions or procedures for children, except those qualifying."
FL,Florida,SB1674,1,fast democracy,"This bill creates the “Safety in Private Spaces Act” which provides requirements for exclusive use of restrooms by gender and requirements for exclusive use of changing facilities by gender (with exceptions). This bill prohibits willfully entering a restroom or changing facility designated for the opposite sex and refusing to immediately depart when asked to do so by another person present there, providing criminal penalties, etc."
FL,Florida,HB999,1,fast democracy,"Building on the work the Legislature has undertaken over the past few years, the bill continues efforts to make Florida’s colleges and universities among the best in the nation, ensuring that Florida’s institutions are focused on providing a world class education to their students. The bill prohibits a state college, state university, or one of their direct-support organizations, from expending state or federal funds on Diversity, Equity, and Inclusion (DEI) programs or activities unless required for compliance with federal law or regulations or in support of specified access programs. Additionally, the bill updates the responsibilities of the Board of Governors (BOG) relating to the alignment of state university missions, including, providing direction to universities on the removal of majors and minors based on or using instruction from Critical Theory, or any derivative subject that engenders beliefs in divisive concepts. The bill bolsters the authority of University Boards of Trustees (UBOT) by permitting the review of a faculty member’s tenure status upon the request of the UBOT chair, but within parameters specified by BOG regulation. Consistent with its constitutional responsibilities, the bill requires each UBOT to select and hire faculty for the university, approve the university president’s selections for his or her executive management team, and prohibit solicitation of pledges or commitments to viewpoints related to DEI, CRT, or any political identity or ideology, as part any hiring, promotion, admission, disciplinary, promotion, or evaluation process. This prohibition does not include pledges to uphold general and federal law, including the U.S. or state constitution. The bill prohibits general education core courses that distort significant historical events or that use instruction from Critical Theory and establishes new standards and adoption procedures for these courses. The bill supports continued investment in Florida’s workforce by adding an additional standard for the Preeminent State Research University Program related to annual research expenditures of $50 million or more in STEM-related expenditures, funded from business and non-profit partners. The bill re-aligns the missions of the Florida Institute of Politics at Florida State University, the Adam Smith Center for the Study of Economic Freedom at Florida International University, and establishes the Institute for Risk Management & Insurance Education at the University of Central Florida. The bill revises provisions related to the Buy One, Get One Free Tuition & Fee Waiver to protect students from losing the waiver based on a change to an approved program."
FL,Florida,HB991,1,fast democracy,"This bill defines “defamation or privacy tort” and modifies the venue requirements for a defamation action, resuscitates the tort of false light and provides standards, specifies that an allegation that the plaintiff has discriminated against another person or group because of race, sex, sexual orientation, or gender identity is defamation per se, and specifies that the journalist’s privilege does not apply in defamation actions brought under chapter 770, F.S., when the defendant is a professional journalist or media entity. Additionally, this bill modifies the actual malice provisions applicable to defamation claims brought by public figures, specifies that information provided by an anonymous source is presumptively false, provides that Florida’s offer of judgment statute does not apply to defamation or privacy tort claims, and modifies the attorney fee provision applicable to claims made under the laws prohibiting “Strategic Lawsuits Against Public Participation.” Finally, this bill authorizes a prevailing plaintiff in a defamation or privacy tort claim to recover his or her reasonable costs and attorney fees and provides for severability."
FL,Florida,HB1069,1,fast democracy,"The bill continues Florida’s efforts to increase transparency of a school district’s instructional and specific materials adoption processes and empower parents control of their children’s education. The bill increases school district transparency and accountability for selecting and using instructional materials and library materials by requiring that district school boards be responsible for the contents of classroom libraries, in addition to instructional materials and school libraries. As part of fulfilling this responsibility, the bill requires that district school board policies regarding objections to specific materials include objection on the basis that the material depicts or describes sexual conduct, as defined in law. The bill provides for an exception to this objection for material used in required instruction on HIV/AIDS, child sexual abuse prevention, or any other course identified by the DOE. Any specific materials subject to an objection on the basis that the materials are pornographic, harmful to minors, or describe or depict sexual conduct must be removed from circulation at the school where the objection was made, within 5 days of the objection, until the completion of the objection process. Committees convened by a school district to review and make recommendations related to the adoption of instructional materials must include parents of students that will have access to the materials being reviewed. All meetings of such committees must be publicly noticed and open to the public. The bill creates an appeals process for a parent that disagrees with the school board’s determination on his or her objection. The DOE must adopt an objection form for use by school districts. The bill requires that all books in elementary school classroom libraries be included in the required online catalogue of elementary school library materials and school districts must adopt and implement a process for parents to limit their child’s access to library materials. The bill revises the annual reporting requirements regarding objections to materials. The bill requires the DOE to annually approve all instructional materials used to teach reproductive health and any disease, including HIV/AIDS. The bill defines “sex” for the purposes of the education code and requires that instruction in human sexuality include instruction on the binary, stable, and unchanging nature of biological sex. The bill expands existing parental authority over a child’s education by extending the existing prohibition on inst ruction relating to sexual orientation and gender identity in kindergarten through grade 3 to include prekindergarten through grade 8 and expressly stating that charter schools must comply with this requirement. Consistent with existing law, the bill requires that instruction on sexual orientation and gender identity in grades 9 through 12 be age-appropriate or developmentally appropriate for students. Additionally, the bill requires additional transparency regarding school district policies and procedures. The bill implements new requirements relating to the use of personal titles and pronouns in Florida’s public schools, with an exception for individuals with specified conditions. The bill prohibits an employee, contractor, or student, as a condition of employment, enrollment, or participation, at a public K-12 educational institution, be required to refer to another individual by a personal title or pronouns that do not align with the person’s sex. Similarly, a K -12 public institution employee or contractor may not provide a student with the individuals preferred personal title or pronouns if they do not correspond to the employee or contactor’s sex. A school may not require a student to provide his or her preferred personal title or pronouns and may not apply any penalty or adverse action against a student for not providing this information. The bill does not appear to have a fiscal impact."
FL,Florida,HB1521,1,fast democracy,"This bill creates the “Safety in Private Spaces Act.” This requires public and private sector covered entities that maintain a restroom or changing facility to have restrooms separately designated for males and females or a unisex restroom or changing facility. It also limits instances when a person may enter a restroom or changing facility designated for the opposite sex to the following circumstances: assisting or chaperoning a minor child, elderly person, or disabled person, law enforcement or governmental regulatory purposes, emergency situations, and custodial, maintenance, or inspection purposes, if not in use. If the appropriate designated restroom or changing facility is out of order or under repair and the opposite designated restroom or changing facility contains no person of the opposite sex. This bill also makes it a second degree misdemeanor for a person 18 years of age or older to willfully enter a restroom or changing facility designated for the opposite sex and refuse to immediately depart and requires educational institutions to establish disciplinary procedures for violators under 18 years old. Additionally, it requires all covered entities who must be licensed to operate in the state to submit documentation regarding compliance with restroom and changing facilities requirements, as applicable, upon initial or renewal application for licensure, after July 1, 2023. It also requires domestic violence centers and correctional institutions to provide separate accommodations for females and males, based on their sex and makes covered entities who fail to comply with such requirements subject to penalties and licensure or regulatory disciplinary action. This bill exempts individuals born with certain verifiable disorders of sex development. This bill authorizes the Attorney General to bring a civil action to enforce these provisions against any covered entity, to seek injunctive relief, and to impose a fine of up to $10,000 for any covered entity found to have willfully violated such provisions. This bill directs fines collected to be deposited in the General Revenue Fund. The bill may have an indeterminate fiscal impact on state and local government and the private sector."
FL,Florida,HB1421,1,fast democracy,"HB 1421 regulates gender clinical interventions provided or performed for the purpose of affirming a person’s perceived gender, including surgical and hormonal therapies and treatments. The bill prohibits health care practitioners from providing gender clinical interventions to minors, with exceptions. The bill prohibits all healthcare practitioners, except Florida-licensed physicians or a physician employed by the Federal Government, from providing gender clinical interventions to adults. A physician must obtain written informed consent on a form adopted by the Board of Medicine or Board of Osteopathic Medicine, as applicable, each time the physician provides gender clinical interventions. The bill requires the Department of Health (DOH), or the applicable board, to revoke the license of a physician who violates any of the preceding requirements and imposes criminal penalties for certain violations. The bill also provides conscience protection for practitioners or other employees who refuse to participate in providing gender clinical interventions, prohibiting licensure discipline and any other type of recriminatory action against them. The bill creates a civil cause of action for injuries and wrongful death caused by gender clinical interventions. The bill prohibits the use of funds by a government entity for gender clinical interventions and prohibits insurance companies from providing coverage for such treatments. The bill prohibits DOH from changing sex on birth certificates for gender identity changes, with exceptions. The bill establishes requirements for a health care practitioner to request a change to a birth certificate and expressly prohibits changes based upon a person’s perception of gender. A health care practitioner who makes a misrepresentation or provides fraudulent evidence in such a request is subject to licensure discipline. The bill also authorizes a court to modify or stay a child custody determination to protect a child from being subjected to gender clinical interventions in another state. The bill has no fiscal impact on state or local government."
FL,Florida,SB266,1,fast democracy,"SB 266 includes a number of provisions intended to focus state university administrative and curricular activities on education that benefits students and the state. Specifically, the bill: requires the Board of Governors of the State University System to include in the alignment of university missions, and in its strategic plan, economic development needs of the state and nondegree credential attainment, respectively. It also requires the Board of Governors of the State University System to include in its regulation a process for universities to initiate a post-tenure review, for cause. This bill also modifies personnel policies at each university by assigning hiring authority to the university board of trustees (BOT), which may delegate authority to the president, specifying that the university president may not delegate hiring authority outside the executive management team, and requiring the university BOT to confirm the president’s executive team, and receive evaluations for personnel earning over $200,000. Additionally, this bill requires a review of university programs for concepts that violate state law regarding discrimination, and prohibits a university from including in the hiring or employment process any activity that violates specified discrimination provisions, provides additional restrictions on public education institution spending, with exceptions for specified programs, and expands the list of individuals protected from discrimination in prohibited expenditures."
FL,Florida,HB1223,1,fast democracy,"This bill expands existing parental authority over a child’s education by extending the existing prohibition on instruction relating to sexual orientation and gender identity in kindergarten through grade 3 to include prekindergarten through grade 8 and expressly stating that charter schools must comply with this requirement. The prohibition includes private prekindergarten providers that participate in the voluntary prekindergarten program. Consistent with existing law, the bill requires that instruction on sexual orientation and gender identity in grades 9 through 12 be age-appropriate or developmentally appropriate for students. Additionally, the bill requires additional transparency regarding school district policies and procedures. The bill also defines, for the purposes of the Early Learning-20 Education Code, “sex” as the classification of a person as either female or male based on the organization of the body of such person for a specific reproductive role, as indicated by the person's sex chromosomes, naturally occurring sex hormones, and internal and external genitalia present at birth and reenacts a number of provisions in the education code to incorporate the definition of “sex” throughout. The bill implements new requirements relating to the use of personal titles and pronouns in Florida’s public schools, with an exception for individuals with specified conditions. Specifically, the bill prohibits an employee, contractor, or student, as a condition of employment, enrollment, or participation, at a public K-12 educational institution, be required to refer to another individual by a personal title or pronouns that do not align with the person’s sex. It also prohibits a K-12 public institution employee or contractor from providing a student with the individuals preferred personal title or pronouns if they do not correspond to the employee or contactors sex. Additionally, it prohibits any requirement that a student provide his or her preferred personal title or pronouns and any penalty or adverse action against a student for not providing his or her preferred title or pronouns. The State Board of Education is granted rulemaking authority to adopt rules to implement the requirements relating to personal titles or pronouns. The bill does not appear to have a fiscal impact."
GA,Georgia,SB141,1,https://www.newsweek.com/georgia-republicans-push-bill-force-schools-out-transgender-children-1780302,"This bill would make sure teens with a different gender identity than the one assigned to them at birth won't be allowed to receive gender-affirming care in the state of Georgia. Under SB 141, which specifically mentions the role of school staff, school nurses and officials, will be legally obliged to notify a student's parents if they report having gender dysphoria."
GA,Georgia,SB180,1,https://www.onlineathens.com/story/news/state/2023/02/15/religious-freedom-bill-some-say-targets-lgbtq-back-in-georgia-senate/69908274007/,"Under this bill, the state and local governments would not be permitted to “substantially burden” an individual’s free exercise of religion unless the government could demonstrate it had a “compelling governmental interest” in doing so and that it was using the “least restrictive means” of intrusion."
GA,Georgia,SB140,1,fast democracy,This bill prohibits certain surgical procedures for the treatment of gender dysphoria in minors from being performed in hospitals and other licensed healthcare facilities and provides for exceptions and violations. 
GA,Georgia,HB653,1,legiscan,This bill prohibits health care providers from performing practices on minors to alter their appearance relating to gender.
GA,Georgia,SB88,1,https://www.billtrack50.com/billdetail/1558354/36110,"This bill prohibits certain actions by an adult acting in loco parentis with respect to child privacy. This bill also prohibits providing to, obtaining from, or discussing with a child information of a sensitive nature except under certain conditions. This bill provides for requirements relating to changing a student's gender in the official school record and prohibits the modification of a child's official school record with respect to gender without consent of the child's parents or legal guardians. Additionally, this bill prohibits engaging in instruction of a child when dressed in a specific manner. This bill repeals conflicting laws. "
MO,Missouri,SB693,1,fast democracy,This act creates the offense of engaging in an adult cabaret performance if such performance is on public property or in a location where the performance could be viewed by a person who is not an adult. Such offense shall be a class A misdemeanor for the first offense and a class E felony for any subsequent offense. 
MO,Missouri,SB429,0,NA,"NA, identical to HB 498"
HI,Hawaii,HB891,1,fast democracy,This bill prohibits the performance of gender reassignment surgeries on minors and establishes a Class A felony for those who perform gender reassignment surgeries on minors.
HI,Hawaii,HB509,1,fast democracy,This bill bans instruction related to sexual orientation and gender identity in public schools and establishes new parental rights regarding health services and records. This bill establishes the parental right to sue and receive damages if schools fail to adhere to new provisions.
HI,Hawaii,HB508,1,fast democracy,This bill creates the requirement of school sports to designate sex-specific teams for the purpose of gender equality.
HI,Hawaii,SB1429,1,fast democracy,This bill creates the requirement of school sports to designate sexspecific teams for the purpose of gender equality.
IA,Iowa,HF229,1,Iowa state legislature,This bill relates to the standard of judicial review when a state action burdens a person’s exercise of religion. This bill provides that government action cannot substantially burden a person’s exercise of religion unless the government demonstrates that applying the law of general applicability is in furtherance of a compelling governmental interest and is the least restrictive means of furthering that interest. The bill provides that a person whose exercise of religion has been burdened by government action may assert such violation as a claim or defense in a judicial or administrative proceeding.
IA,Iowa,SF482,1,fast democracy,This bill prohibits persons from entering single and multiple occupancy restrooms or changing areas and other facilities in elementary and secondary schools that do not correspond with the person’s biological sex and including effective date provisions.
