,bill_id,model_summary
78,IA SF482,"['This bill prohibits school from using single or multiple occupancy restroom or changing area designated only for and used by persons of same biological sex as provided in this section. This bill prohibits school from using single or multiple occupancy restroom or changing area designated only for and used by persons of same biological sex.', 'This bill requires elementary and secondary public schools to designate and allow the use of multiple occupancy restrooms or changing area to accommodate students of the opposite sex. This bill requires elementary and secondary public schools to designate and allow the use of multiple occupancy restrooms or changing area to accommodate students of the opposite sex. This bill requires elementary and secondary public schools to designate and allow the use of multiple occupancy restrooms or changing area to accommodate students of the opposite sex.', 'bill prohibits people from entering single or multiple occupancy restroom or changing area in school that does not correspond with the persons biological sex. bill also allows schools to provide alternative facilities upon request to school officials for alternative facilities from the parents of the student.']"
79,IA HF623,"['This bill prohibits healthcare professionals from knowingly engaging in or abets any of the following practices on minors if the practice is performed for the purpose of altering or affirming the minors perception of the minors gender or sex . the bill prohibits healthcare professionals from knowingly engaging in or abets any of the following practices to be performed on minors if the practice is performed for the purpose of altering the appearance of or affirming the minors perception of the minors gender or sex ', 'This bill prohibits the use of gender transition procedures to prevent minors from undergoing a gender transition procedure . the bill prohibits the provision of gender transition procedures to prevent minors from undergoing a gender transition procedure .', 'This bill prohibits healthcare professional from knowingly engaging in or causing certain practices to be performed on minor if the practice is performed for the purpose of attempting to alter the appearance of or affirm the minors perception of the minors gender or sex if that appearance or perception is inconsistent with the minors sex explanation. This bill prohibits healthcare professional from knowingly engaging in or causing certain practices to be performed on minor if the practice is performed for the purpose of attempting to alter the appearance of or affirm the minors', 'a minor with external biological sex characteristics that are ambiguous such as minor born with xx chromosomes with virilization xy chromosomes with under virilization or having both ovarian and testicular tissue services provided to a minor who has otherwise been diagnosed with disorder of sexual development by physician . the bill prohibits certain practices by healthcare professional performed on minor if the bill prohibits certain practices by healthcare professional performed on minor .', 'practice is performed for the purpose of attempting to alter the appearance of or affirm the minors perception of the minors gender or sex if that appearance or perception is inconsistent with the minors sex.']"
80,KS SB12,"['This bill prohibits the provision of the bill to a person under age whose sexual orientation is not a condition of a person under age . The bill prohibits the provision of this bill from a person under age whose sexual orientation is not a condition of a person under age .', 'a person who is not licensed to practice medicine and surgery is not authorized to perform any operation as a staff member of a medical care facility . a person who is not licensed to perform any operation or performs any operation without the consent of the patient is entitled to practice the healing arts.', 'a licensee is not qualified by training experience or li censure to perform a healing arts using an anabolic steroid or human growth hormone for other than valid medical purpose. The licensee is not qualified by training experience or li censure to perform a healing arts using an anabolic steroid or human growth hormone for other than valid medical purpose.', 'This bill prohibits billing for anatomic pathology services by a physician providing services to a patient under the supervision of a physician or a physician providing services to a patient under the supervision of a physician or a physician . the bill prohibits billing for anatomic pathology services by a physician or a physician providing services to a patient under the supervision of a physician or a physician providing services to a patient under the supervision of a physician or a physician providing services to a patient under the supervision of this bill prohibits the provision of a medical or a medical ad . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .', 'This act hall take effect and be in effect from and after its publication in the statute book. The act is hereby repealed from and after its publication.']"
81,KS HB2238,"['Sections through and amendments thereto shall be known and maybe cited as the fairness in womens sports act sec as used in sections through and amendments thereto. This bill prohibits any student who is deprived of an athletic opportunity or suffers any director indirect harm as result of violation of section 7.2 of the bill.', 'This bill prohibits the use of a public educational entity or athletic association or organization to a student who is subject to retaliation or other adverse action by a public educational entity or athletic association or organization. The bill prohibits the use of a public educational entity or athletic association or organization to a student who is subject to retaliation or other adverse action by a public educational entity or athletic association or organization. The bill prohibits the use of a public educational entity or athletic association or organization to a public']"
82,KS SB149,"['This bill prohibits promoting obscenity or promoting obscenity to minors from promoting or promoting obscenity to minors. The bill prohibits promoting obscenity or promoting obscenity to minors from promoting or promoting obscenity to minors.', 'a person promoting obscene materials or obscene devices was promoted to emphasize their prurient appeals hall be relevant in determining the question of the obscenity of such materials or devices . a person promoting obscene materials or obscene devices did so knowingly or recklessly if the materials or devices were promoted to emphasize their prurient appeals hall be relevant in determining the question of the obscenity of such materials or devices .', 'gits hall is a law enforcement agency that prohibits any projectionist or assistant projectionist from promoting obscenity to minors. The law prohibits any projectionist or assistant projectionist from displaying any obscene motion picture in commercial showing to the general public.', 'This act hall take effect and be in force from and after its publication in the statute book. The act is repealed by the act hall take effect and be in force from and after its publication in the statute book.']"
83,KS SB180,['This act hall take effect from and after its publication in the statute book. The statute provides that the statute prohibits unfair discrimination against similarly situated male and female individuals.']
84,KS SB201,['This acts hall take effect and be in force from and after its publication in the statute book . this acts hall take effect from and after its publication in the statute book .']
85,KS SB207,['This act prohibits any employee or independent contractor of school district from discussing matters of public concern outside such employees or independent contractors official duties. This act is in force from and after its publication in the statute book.']
86,KS SB233,"[""This bill prohibits the physician who performed the child's gender reassignment service to a child under the age of 18 . This bill prohibits the physician from performing or causing acts to be performed on a child under the age of 18 ."", 'a physician has otherwise diagnosed a disorder of sexual development in which the physician has determined that the child does not have the normal sex chromosome structure sex steroid hormone action for male or female of the childs aged an individual who brings an action under this section may seek actual damages exemplary or punitive damages injunctive relief and other appropriate relief in an action brought under this section the courts hall award prevailing plaintiff the cost of the suit including reasonable attorney fees this sections hall be applicable to any action commenced', 'unless majority of the board members present and voting on such application determine by clear and convincing evidence that such person will not pose threat to the public in such persons capacity as licensee . such person has been sufficiently rehabilitated to warrant the public trust the licensee has used fraudulent or false advertisements the licensee is addicted to or has distributed intoxicating liquors or drugs for any other than lawful purpose the licensee has willfully or repeatedly violated this act the pharmacy act of the state of kansas or the uniform controlled substances', 'the licensee has failed to report or reveal the knowledge required to be reported or revealed under ksa and amendments theretom the licensee has failed to disclose the knowledge required to be reported or revealed under ksa and amendments theretom the licensee has failed to disclose the knowledge required to be reported or revealed under ksa and amendments theretom the licensee has failed to in form in writing patient suffering from any form of abnormality of the breast tissue for which surgery is recommended form of treatment of alternative methods of a convicted of any violation by the licensee or a law or a law or a . the . the licensee has . the . . . . . . . . . . . . . . . . . . . . . . . . . ', 'The licensee has failed to report to the board any adverse judgment settlement or award against the licensee resulting from medical malpractice liability claim related to acts or conduct that would constitute grounds for disciplinary action under this section the licensee has failed to maintain policy of professional liability insurance as required by ksa or amendments thereto the licensee has failed to pay the premium surcharges as required by ksa or the amendments thereto the licensee has failed to adequately direct and supervise the physician assistant in accordance with the physician assistant ', 'this act hall take effect and be in force from and after its publication in the statute book. The act is a statutory act that requires the act to be in effect.']"
87,KS SB255,['This bill prohibits the school district from providing overnight accommodations for students of each biological sex during school district sponsored travel that requires overnight stays by students any student who is subject to retaliation or other adverse action by school district or any employee there of as result of reporting violation of this bill. This bill prohibits the school district from providing overnight accommodations for students of each biological sex during school district sponsored travel that requires overnight stays by any student who is subject to retaliation or other adverse action by school district or any employee there']
88,KS HB2427,['This bill prohibits the school district from providing overnight accommodations for students of each biological sex during school district sponsored travel that requires overnight stays by students any student who is subject to retaliation or other adverse action by school district or any employee there of as result of reporting violation of this bill. This bill prohibits the school district from providing overnight accommodations for students of each biological sex during school district sponsored travel that requires overnight stays by any student who is subject to retaliation or other adverse action by school district or any employee there']
89,KS HB2263,"['This bill prohibits the administration of a vaccine to a person six years of age or older, and prohibits the administration of a vaccine to a person six years of age or older. The bill prohibits the administration of a vaccine to a person six years of age or older, and prohibits the administration of a vaccine to a person six years of age or older.']"
90,KY HB120,"['This act provides a comprehensive and comprehensive review of the biological indication of male and female in the context of reproductive potential or capacity. This act provides a comprehensive review of the biological indication of male and female in the context of reproductive potential or capacity.', 'a doctor or other healthcare providers hall not provide gender transition procedures to any child under the age of eighteen years physician or other healthcare providers hall not provide gender transition procedures to any child under the age of eighteen years physician or other healthcare providers hall not provide gender transition procedures to any child under the age of eighteen years.', 'This bill prohibits the provision of gender transition procedures to a child under the age of eighteen years. The bill prohibits the provision of gender transition procedures to a child under the age of eighteen years.', 'This bill prohibits the state or county or local government from providing gender transition procedures to any child under the age of eighteen years. This bill prohibits the state or county or local government from providing gender transition procedures to any child under the age of eighteen years. This bill prohibits the state or county or local government from providing gender transition procedures to any child under the age of eighteen years.', 'Section kr is amended to read as follows in the case of taxpayers other than corporations adjusted gross income shall be calculated by subtracting from the gross income of those taxpayers the deductions allowed individuals by section of the internal revenue code. The kentucky constitution and the constitution and the statutory laws of the united states exclude income that is exempt from state taxation by pub no include interest income derived from obligations of sister states. The kentucky constitution and the constitution and the constitution and the constitution and the statutes of', 'the exclusive benefit of employees or their beneficiaries and includes plans qualified or unqualified under section of the internal revenue code and individual retirement accounts as defined in section of the internal revenue code. The portion of the distributive share of shareholders net income from an corporation related to qualified sub chapters subsidiary subject to the franchise tax imposed under kr or the capital stock tax imposed under kr shall be the same as the basis for federal income tax purposes.', 'This bill imposes a new law that prohibits the use of a single digit of a single digit of a single digit of a single digit of a single digit of a single digit of a single digit of a single digit of a single digit of a single digit of a single digit of a single digit of a single digit of a single digit of a single digit of a single digit of a re-exempt from the kentucky law a ""sex"" and a new law . the bill prohibits the use of a . . . . . . . . . . . . . . . . . . . . . . . . . ', 'This bill prohibits any deduction for percentage depletion or expenditures attributable to the making and administering of the contract under which such disposition occurs. The bill prohibits any deduction for deprecation deductions for those loans for taxable years ending on or after march but before january and for taxable years beginning on or after january. The bill prohibits any deduction for any deduction for any deduction for any deduction for any deduction for any deduction for any deduction for any deduction for any deduction for any deduction for any deduction for gender transition procedures or any deduction for percentage depletion or expenditures attributable to the making and administration of the contract. The bill prohibits any deduction for the deductions.', 'This bill prohibits any religious or denominational club group or establishment or organization operated solely for charitable or educational purposes. The bill prohibits any deduction prohibited by kr and any dividends paid deduction of any captive real estate investment trust or deferred tax deduction in an amount computed in accordance with this paragraph.', 'This bill provides a new law that allows children to use puberty blocking drugs or cross sex hormones to have time for a child to use puberty blocking drugs or cross sex hormones. The bill provides a new law that allows children to use puberty blocking drugs or cross sex hormones to use puberty blocking drugs or cross sex hormones to use puberty blocking drugs or cross sex hormones to use puberty blocking drugs or cross sex hormones to be a re-examination of the a .', 'appropriate medication tapering and discontinuation under the care of their physician or other healthcare provider. appropriate medication tapering and discontinuation under the care of their physician or other healthcare provider.']"
91,KY HB58,"['This bill prohibits the use of medical services or other medical services to provide medical services to any patient at any time over the entire course of treatment. The bill prohibits the use of medical services or other services to provide medical services or other services to any patient.', 'This bill prohibits the use of a medical device to provide medical services to any person or individual who may be asked to participate in any healthcare service. The bill prohibits the use of a medical device or any other device to provide medical services to any person or individual who may be asked to participate in any healthcare service.', 'This bill prohibits the use of a medical practitioner to provide medical services to his or her employer or to provide to his or her employer the attorney general any agency of the commonwealth charged with protecting healthcare rights of conscience. This bill prohibits the use of a medical practitioner to provide medical services to his or her employer or to assist or participate in related proceedings. This bill prohibits the use of a medical practitioner to provide medical services to his or her employer or to assist or participate in related proceedings.']"
92,KY HB30,"['This bill provides a comprehensive and comprehensive education system for students of different biological sex. The bill provides a comprehensive education system for students of different biological sex.', 'This bill prohibits students from using restrooms designated for use by the opposite biological sex or prohibits students from using restrooms designated for use by the opposite biological sex. This bill prohibits students from using restrooms designated for use by the opposite biological sex.']"
93,KY HB177,"['This bill prohibits any governmental entity organization or any person whose authority over the welfare of child is terminated by court order the liberty of parent to direct the upbringing education healthcare and mental healthcare of that parents child. The bill prohibits any political subdivision of the state or any other governmental entity from imposing any such restrictions on the right to direct the upbringing of the child to direct the upbringing of the child to direct the upbringing of the child to direct the upbringing of the child to direct the education of the child.', 'This bill prohibits any employee of this state any political subdivision of this state any other governmental entity or any other institution from contacting the parent unless the incident has first been reported to law enforcement and notification of the parent would impede law enforcement or cabinet for health and family services investigation. This bill prohibits any employee of this state any political subdivision of this state any other governmental entity or any public or private educational institution except for law enforcement personnel who react in official capacity to encourage or coerce the child to withhold information vital to maintaining the physical', 'kr procedures by which parent may learn about the courses of study for that parent child and review all available educational and learning materials used including any additional educational materials and any teacher training materials or videos ca policy to respect parental rights by ensuring children in grade 5 and above do not receive any instruction or presentation that has goal or purpose of studying exploring or informing students about gender identity gender expression sexual orientation or sexual relationships . procedures by which parent who objects to any specific instruction or presentation may withdraw that parent from the instruction or presentation objection to specific instruction or presentations hall', 'This bill provides a comprehensive and comprehensive list of policies and procedures for the kentucky department of education. The bill provides a comprehensive list of policies and procedures for the kentucky department of education. The bill provides a list of policies and procedures for the kentucky department of education.', ""This bill prohibits any government from imposing a law that prohibits any government from imposing a law that prohibits any government from imposing a law that prohibits any government from imposing a law that prohibits any government from imposing a law that prohibits any government from imposing a law that prohibits any government from imposing a law that prohibits any government from imposing a law that prohibits any government from imposing a law that prohibits the law. The bill prohibits any government from a state any political subdivision of the state from a waiver or a waiver of this bill. The bill prohibits any public or private a law that prohibits any public or private a law that prohibits any government from a child's right to access a school or other a law that prohibits any government from a child's right to a child's right to a"", 'a physician upon consultation by a minor may make diagnostic examination for venereal disease pregnancy or substance use disorder contraception pregnancy or childbirth all without the consent of the parent or legal guardian of such minor patient. a physician may provide outpatient mental health counseling to any child who is age 16 or older upon request of such child without the consent of parent parents or guardian of such child. a physician may provide outpatient mental health counseling to any child who is an unaccompanied youth as defined by us csec upon request of such a request may be a minor may make a diagnosis for the a . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ', 'a child or spouse of a minor is not eligible for medical dental or surgical care for any age without the consent of a parent or legal guardian. The child may be referred to as a minor or spouse for medical dental or other health services.', 'this act is a bill that requires parents to exercise the rights of their children to live in the commonwealth and provides the upbringing of their children in the commonwealth an emergency is declared to exist. This bill is a bill that requires parents to exercise the rights of their children to live in the commonwealth and requires parents to provide the upbringing of their children to the commonwealth.']"
94,KY SB102,"['This bill provides a comprehensive and comprehensive education system for the child under kr. The bill provides a comprehensive education system for the child under kr. The bill provides a comprehensive education system for the child under kr.', 'The law prohibits the public schools of the commonwealth from violating parents fundamental rights identified in sections to and of this act. The law prohibits the public schools of the commonwealth from violating parents fundamental rights identified in sections to and of this act. The law prohibits the public schools of the commonwealth from violating parents fundamental rights identified in sections to and of this act.', ""This bill prohibits the school from submitting a written notice to the school or the school's parent to the school's school or the school's parent to the school's school. The bill prohibits the school from submitting a written notice to the school's school to the school's school and prohibits the school from submitting a written notice to the school's school."", 'This bill prohibits the school from providing that service to the child to be notified at the beginning of each school year or upon enrollment of all programs and healthcare services offered at the childs school of major changes in his or her childs mental health and wellbeing . the bill prohibits the school from providing that service to the child to be notified at the beginning of each school year or upon enrollment of all programs and healthcare services offered at the childs school of major changes in his or her childs mental emotional and physical health and wellbeing .', 'This act prohibits any teacher or other school employee from coercing or discouraging any child from sharing any information concerning the childs . this act prohibits any teacher or other school employee from coercing or discouraging any child from sharing any information concerning the childs .', 'This bill prohibits the funding of any professional development activity consultant services trainings or incentives or the adoption of any policies practices or procedures that advise compel or in centi viz any teacher school employee or presenter to use pronouns that are inconsistent with the information on the childs school enrollment documentation discourage punish or disadvantage teacher school employee or presenter in anyway for refusing or failure to use name or other identifier in reference to child that is inconsistent with the childs information listed on the childs enrollment documentation .', 'This bill prohibits schools from adopting or recommending best practices or procedures that are inconsistent with sections to and of this act. This bill prohibits schools from requiring students to be outside of the community standard state of dress to view persons of the opposite biological sex outside of the community standard state of dress. This bill prohibits students from using private quarters restrooms locker rooms or shower rooms designated for the childs biological sex.', 'This bill prohibits the use of restrooms or shower rooms designated for use by persons of the opposite biological sex or the use of private quarters with members of the opposite biological sex . the bill prohibits the school from using restrooms of the opposite biological sex in the same manner as the child .', 'The common school environment and interactions between teachers and students in kindergarten through grade twelve are intended to facilitate the learning of approved curricula and development of approved sets of skills . the common school environment is not an appropriate place to engage in teacher led or teacher promoted social or political advocacy with respect to controversial subject matter . parent has right to have his or her child spend time at school primarily learning approved curricula and developing approved sets of skills with no time spent being indoctrinated into any partisan political position or being involved in teacher', 'This bill prohibits teachers from promoting or advocating for or against anything in opposition to their or her beliefs or convictions religious or otherwise including but not limited to political candidates. This bill prohibits teachers from promoting or advocating for or against anything in opposition to their or her beliefs or convictions religious or otherwise.', 'This bill prohibits teachers from discussing sexual conduct without discussion of sexual conduct as defined in the bill. This bill prohibits teachers from discussing sexual conduct without discussion of sexual conduct. This bill prohibits teachers from discussing sexual conduct without discussion of sexual conduct.', 'obscene means to the average person applying contemporary community standards the predominant appeal of the matter taken as whole is prurient interest in nudity sexual conduct excretion sexual stimulation or sexual gratification the matter depicts or describes the nudity sexual conduct excretion sexual stimulation or sexual gratification in patently offensive way . the matter taken as whole lacks serious literary artistic political or scientific value obscene imagery representing minors means visual depiction of any kind produced by any means including but not limited to drawing cartoon', 'This bill prohibits any performance that is harmful to minors pervasive ly vulgar or obscene or any performance that is harmful to minors or any obscene imagery representing minors. This bill prohibits any performance that is harmful to minors drag performance pervasive ly vulgar or obscene or any performance that is harmful to minors pervasive ly vulgar or obscene or any performance that is harmful to minors.', 'This bill prohibits the use of approved instructional material in public schools if the material is permitted under state or public charter school policies and satisfies all administrative regulations for academic standards for the course being taught. This bill prohibits the use of approved instructional material used in public schools if the material is permitted under state or public charter school policies. The bill prohibits the use of approved instructional material used in public schools if the material is permitted under state or public charter school policies.', 'The department of education shall develop or update as needed and distribute to all districts by august of each even numbered year beginning august statewide student discipline guidelines to ensure safe schools including the unofficial copy rs br page of xxxx am jacketed definition of serious incident for the reporting purposes as identified in kr recommendations designed to improve the learning environment and school climate parental and community involvement in the schools and student achievement and ca model policy to implement these guidelines. The department of education shall obtain statewide data on major discipline problems and reasons why students in each school shall be responsible for the . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ', 'The school district of london, a school district of london, is a school district of london, a school district of london, a school district of london, a school district of london, a school district of london, a school district of london, a school district of london, a school district of london, a school district of london, a school staff and the school are a retaliation and the school district of london, a school district of london, and the school district of london, a school district of london, a school district of london, a school district of london, a school district of london, a school district']"
95,KY SB150,"['This bill provides a comprehensive and comprehensive education system for students to receive and maintain a safe and supportive learning environment for their students. The bill provides a comprehensive education system for students to receive and maintain a safe and supportive learning environment for their students.', 'This bill prohibits school district personnel from providing medical services to a student as outlined in the district policies section kr. This bill prohibits school personnel from providing medical services to a student .', 'a student during class is asked to discuss human sexuality and the sexuality of any historic person group or public figure. The discussion provides necessary context in relation to topic of instruction from curriculum approved pursuant to kr.']"
96,KY SB115,"['This bill prohibits the distribution of obscene material to the public or to the public to promote the health and safety of the citizens of this commonwealth. This bill prohibits the distribution of obscene material to the public or to the public to the public. This bill prohibits the distribution of obscene material to the public or to the public.', ""a child's amusement park is a trampoline park inflatable play facility that is licensed by the cabinet for health and family services to provide care or supervision for minor children children's amusement establishment means an amusement park trampoline park inflatable play facility laser tag facility go kart track skating park or skating rink videogame arcade. a child's amusement park is a non-profit organization that provides services to children's amusement parks and other recreational facilities."", 'This is a sex expression that is inconsistent with the biological sex formally recognized on the performers original birth certificate using clothing makeup or other physical markers. This is a gender expression that is inconsistent with the biological sex formally recognized on the performers original birth certificate using clothing makeup or other physical markers. This is a gender expression that is caricatured advertised or featured aspect of the performance taken as whole escort means person who agrees or offers to act as date for another person for consideration or agrees to privately', 'a state of nudity is not a state of nudity, a state of nudity, a state of nudity, a state of nudity, a state of nudity, a state of nudity, a state of nudity, a state of nudity, a state of nudity, a state of nudity, a state of nudity, a state of nudity, a state of nudity,', 'a public park or outdoor recreational area with play equipment installed and designed to be used by children and outdoor recreational area with play equipment installed that is owned and operated by charitable organization or business public library means unofficial copy rs br page of xxxx am jacketed library . the establishment regularly offers for display viewing sale or rental at least one hundred books magazines periodicals or other printed matter or photographs drawings films motion pictures videocassettes compact discs digital video or audio streams digital videodiscs slides or other visual representations .', 'This bill prohibits the establishment of an adult oriented business from being located within one thousand feet of any establishment set out under this section. The bill prohibits the establishment of an adult oriented business from being located within one thousand feet of any establishment set out under this section. The bill prohibits the establishment of an adult oriented business from being located within one thousand feet of any establishment set out under this section.', 'This act prohibits the establishment of a commercial establishment that was lawfully established and legally operated as an adult oriented business before the effective date of this act until june in order to make reasonable recoup ment of its investment in the location that was made prior to the effective date of this act. This act prohibits the establishment of a commercial establishment that was lawfully established and legally operated as an adult oriented business in location that does not conform to the requirements of this act until june in order to make reasonable recoup', 'this act provides the requirements for the requirements for the requirements for the requirements for the requirements for the requirements for the requirements for the requirements for the requirements for the requirements for the requirements for the requirements for the requirements for the requirements for the requirements for the requirements for the requirements for the requirements for the requirements for the requirements for the requirements for the requirements for the requirements for the requirements for the requirements for the requirements for the requirements for the requirements for the requirements for the requirements for the requirements for the requirements for the requirements.']"
97,KY SB145,"['The kentucky board of education shall have the management and control of the common schools and all programs operated in these schools including interscholastic athletics the kentucky school for the deaf the kentucky school for the blind and community education programs and services the kentucky board of education may designate an organization or agency to manage interscholastic athletics in the common schools . the state board of education or an agency designated by the board to manage interscholastic athletics shall assure', 'This bill prohibits nonmember nonmember at home private schools team or students from participating in a sponsored conference conference tournament or estate tournament. This bill prohibits nonmember nonmember at home private schools team or students from participating in a sponsored event or event. This bill prohibits nonmember nonmember nonmember at home private schools team or students from participating in a sponsored event or event.', 'The state board or any agency designated by the state board to manage interscholastic athletics shall promulgate administrative regulations or bylaws that provide that member schools hall designate all athletic teams activities and sports for students in grades 6 through twelve as one of the following categories boys bc oed or unofficial copy rs br page of br xxxx pm jacketed girls the sex of student for the purpose of determining eligibility to participate in an athletic activity or sport designated as girls for students in grades 6 through', 'The kentucky board of education is hereby authorized to lease from the state unofficial copy rs br page of br xxxx pm jacketed property and buildings commission or other lands buildings installations and facilities suitable for use in establishing and furthering television and related facilities as an aid or supplement to classroom instruction throughout the commonwealth. The lease may be renewed for any initial term commencing with the date of the lease and ending with the next ensuing june which is close of the then current fiscal bien ', 'The kentucky board of education shall not operate leased television facilities or undertake the preparation of educational presentations or films to be transmitted there by but may enter into one or more contracts to provide there for any public agency and instrumentality of the commonwealth having or able to provide staff with proper technical qualifications upon which agency and instrumentality the board is represented. Any contract shall affirmatively forbid the use of the television or related facilities at any time or in any manner in the dissemination of political propaganda or in furtherance of any political party', 'The state board may on the recommendation of the chief state school officer or his or her design ee the state boards hall establish policy or acton all matters related to programs services publications capital construction and facility renovation equipment litigation contracts budgets and all other matters which are the administrative responsibility of the department of education.']"
98,KY HB470,"['This act provides gender transition gender reassignment surgery to persons born with medically verifiable disorder of sex development including those born with forty six xx chromosomes with virilization forty six xy chromosomes with under virilization forty six xy chromosomes with under virilization forty six xy chromosomes with under virilization or having both ovarian and testicular tissue services provided to persons born with medically', 'This bill prohibits the provision of gender transition services to a mental health provider, such as a school counselor or school based mental health services provider. The bill prohibits the provision of gender transition services to a person under the age of 18 years.', 'a social worker psychologist or mental health counselor as established or established by the kentucky board of education or the education professional standards board under kr chapter or alcohol and drug counselor or art therapist licensed or certified under kr chapter pastoral counselor licensed or certified under kr chapter g social worker or clinical social worker licensed or certified under kr chapter marriage and family therapist or marriage and family therapist associate as licensed or certified under kr chapter professional clinical counselor or professional clinical counselor associate licensed or certified under kr', 'This bill prohibits the provision of gender transition services to persons under the age of eighteen years by healthcare provider or mental healthcare provider. This bill prohibits the provision of gender transition services to persons under the age of eighteen years.', 'This bill prohibits healthcare providers from providing gender transition services to persons under the age of eighteen years . the bill prohibits the provision of gender transition services to persons under the age of eighteen years .', 'This bill prohibits any entity from providing gender transition services to persons under the age of eighteen years by a healthcare provider or mental healthcare provider owned or employed directly or indirectly by a state school district or any department agency or employee or instrumentality thereof. This bill prohibits any entity from providing gender transition services to persons under the age of eighteen years by a health care provider or mental health care provider owned or employed directly or indirectly by a health care provider. This bill prohibits any entity from providing gender transition services to persons under the age of 18 years, and prohibits any entity from providing or providing any other a child under the age of a child under the age of a child under the age of a healthcare provider or a health care provider or any department from providing a gender transition services to any entity or any other a child or any other a child or any other a child or any other a child or', 'xxxx pm jacketed to the extent permitted under federal law if an insurer elects to reimburse or provide benefits or coverage for gender transition services for persons under the age of eighteen years. The insurers hall be jointly and severally liable for damages sustained as result of the gender transition services .', 'kentucky community and technical college systems optional retirement plan authorized by kr except that person who is receiving retirement allowance and who is age sixty five or older shall not be included with the exception of persons covered under kr. unless he or she is actively employed pursuant to sub paragraph of this paragraph, any eligible dependents and beneficiaries of participating employees and retirees who are entitled to participate in the state sponsored health insurance program unofficial copy rs br page of xxxx pm jacketed the term health benefit plan', 'The commissioner of insurance approves any carrier bidding to offer health care coverage to employees. The carrier bidding to offer health care coverage to employees shall agree to provide coverage to all members of the state group including active employees and retirees and their eligible covered dependents and beneficiaries within the county or counties specified in its bid. The carrier bidding to offer health care coverage to employees shall also agree to rate all employees as single entity except for those retirees whose former employers in sure their active employees outside the state sponsored health insurance program.', 'the state sponsored health insurance programs hall provides an amount atleast equal to the state contribution rate for the employer unofficial copy rs br page of xxxx pm jacketed portion of the health insurance premium for any participating entity that used the state payroll system. The employer contribution amounts hall be equal to but not greater than the state contribution rate the premiums may be paid by the policyholder wholly from funds contributed by the employee by payroll deduction or otherwise wholly from funds contributed by the employee.', 'The state health insurance contractor contracts for employees shall be entered into for period of not less than one year the secretary shall appoint thirty two persons to an advisory committee of state health insurance subscribers to advise the secretary or the secretary design ee regarding the state sponsored health insurance program for employees. This committee shall meet quarterly notwithstanding any other provision of law to the contrary the policy or policies provided to employees pursuant to this section does not provide coverage for obtaining or performing an abortion on behalf of employees or their dependents interruption of an established treatment regime', 'This bill prohibits the state sponsored health insurance policy for that plan year. The bill prohibits the state sponsored health insurance policy for any state employees under 18 years of age from dispensed by mail order. The bill prohibits the state employees from dispense by mail the bill prohibits the state employees from dispense by mail the bill prohibits the state employees from dispense by mail the bill prohibits the state employees from dispense by mail the bill prohibits the state employees from dispense by mail the bill prohibits the', 'This bill prohibits the personnel cabinet from granting the carrier all of the counties included in its bid within the region if the personnel cabinet deems the bids submitted to the personnel cabinet to be in the best interests of state employees in region. This bill prohibits the personnel cabinet from providing coverage for services rendered by physicians or osteopaths or a fully insured health benefit plan or self insured plan issued or renewed to public employees pursuant to this bill.', 'This bill prohibits any person from providing gender transition services to any person under the age of 18 years. This bill prohibits any person from providing gender transition services to any person under the age of 18 years. This bill prohibits any person from providing gender transition services to any person under the age of 18 years.', 'This act provides gender transition services for persons under the age of eighteen years who resides in the commonwealth before and after receiving the services and at the time the action is brought or unofficial copy of xxxx pm jacketed aiding or assisting in the provision of gender transition services as defined in this act for persons under the age of eighteen years who resides in the commonwealth before and after receiving the services and at the time the action is brought .', 'This bill prohibits the use of a statutory system to provide a federal taxation for a corporation to obtain a federal taxation. The bill prohibits the use of a federal taxation system to obtain a federal taxation system.', 'This bill prohibits any deduction for any amount paid to any club or establishment or organization operated solely for charitable or educational purposes. The bill prohibits any deduction for any amount paid to any club or establishment or organization operated solely for charitable or educational purposes.', 'This bill provides a tax deduction for the deferred tax liabilities of the combined group as defined in kr as computed in accordance with accounting principles generally accepted in the united states of america. The bill provides a tax deduction for the deferred tax liabilities that exceed the deferred tax liabilities of the combined group as defined in kr as computed in accordance with accounting principles generally accepted in the united states of america. The bill provides a tax deduction for the deferred tax liabilities that exceed the defer', 'This bill provides a comprehensive and comprehensive guide to gender transition services for persons under the age of eighteen years. The bill provides a comprehensive and comprehensive guide to gender transition services for persons under the age of eighteen years.', 'This bill prohibits schools from making the required notification to the students. The bill prohibits schools from making the required notification to the students. The bill prohibits schools from making the required notification to the students.', 'This bill prohibits the department of juvenile justice from a classifying the sex of any detained person under the age of eighteen years to be sex that is inconsistent with his or her sex as defined in section of this act. The bill prohibits the department of juvenile justice from a classifying the sex of any detained person under the age of eighteen years to be sex that is inconsistent with his or her sex as defined in section of this act.', 'This act takes effect january so that persons under the age of years in the commonwealth currently using puberty blocking drugs or cross sex hormones have time for appropriate medication tapering and discontinuation under their care of their healthcare providers.']"
