,text,summary,title
954,lb lb section sections to of this acts hall be known and maybe cited as the sports and spaces act sec for purposes of the sports and spaces act biological female means  person who was born with female anatomy with two  chromosomes in her cells biological male means  person who was born with male anatomy with  andy chromosomes in his cells and school means any public private denominational and parochial school offering instruction in elementary or highschool grades sec schools hall designate each group bathroom and locker room within such school building as either for use by biological females or for use by biological males except as provided in subsection of this section no school shall allow  biological male to use  restroom facility designated for use by biological females allow  biological female to use  restroom facility designated for use by biological males callow  biological male to enter or use  locker room designated for or being used at such time by one or more biological females or allow  biological female to enter or use  locker room designated for or being used at such time by one or more biological males subject to the policy of the school   biological male coach trainer or other authorized individual or school employee may enter  locker room designated for or being used at such time by one or more biological females and ba biological female coach trainer or other authorized individual or school employee may enter  locker room designated for or being used at such time by one or more biological males school or any official of  schools hall not retaliate against lb lb any person for reporting  violation of this section or related rules regulations or policies student aggrieved by  violation of this section may bring civil cause of action against the school committing such violation plaintiff who prevails in such action maybe entitled to injunctive relief as maybe appropriate actual damages and reasonable attorneys fees sec an interscholastic or intramural athletic team or sport that is sponsored by  schools hall be expressly designated as one of the following based on biological sex males menor boys females women or girls or coed or mixed an athletic team or sport designated for females women or girls shall not be open to  biological male student ban athletic team or sport designated for males menor boys shall not be open to  biological female student unless there is no female team available for such sport for such biological female student nothing in this sections hall be construed to restrict the eligibility of any student to participate in any interscholastic or,This bill adopts the Sports and Spaces Act which designates each group bathroom and locker room in a school building to only be used by biological females or biological males.,NE LB575
804,section  chapter rs mo is amended by adding there to one new section to be known as section to read as follows this acts hall be known and maybe cited as the save womens sports act the provisions of this sections hall apply to sports or athletic competitions tournaments and games intended for individuals under the age of nineteen as used in this section intramural shall mean teams competitions tournaments or games that  sponsor organizing entity or fac il it at or designates is open to all genders every sponsor organizing entity for sports for students in kindergarten through grade twelve or fac il it at or of children or youth sports competitions shall designate each team competition tournament and game as designated for exclusively males exclusively females or intramural no team competition tournament or game designated exclusively for females women or girls shall be open to participation by males menor boys no team competition tournament or game designated exclusively for males menor boys shall be open to participation by females women or girls the gender of participants in children or youth sports or athletic teams competitions tournaments or games shall be determined by the gender as assigned to the participant at birth unless the gender as assigned at birth was later changed due to the treatment of  participant with disorder of sexual differentiation including disorders of chromosomal sex disorders of phenotypic sex or disorders of go nadal sex any participant in children or youth sports or an athletic team competition tournament or game who is disadvantaged in anyway by  violation of this section may recover damages and equitable relief as  result of another  violation of this section no public school private middle school or private highschool that has biological males as assigned at birth playing womens sports shall be eligible for any money appropriated by the general assembly,"This act establishes the ""Save Women's Sports Act"". Every sponsor, organizing entity for sports for students in kindergarten to grade twelve, and facilitator of children or youth sports competitions shall designate every team, competition, tournament, and game as exclusively for males, females or open to all genders. No team, competition, tournament, or game designated exclusively for females shall be open to participation by males and, likewise, no team, competition, tournament, or game designated exclusively for males shall be open to participation by females. The gender of the participants shall be determined by the gender at birth, except as provided in the act. Any participant in youth or children sports who is disadvantaged in any way by a violation of this act may recover damages and equitable relief. No public school, private middle school, or private high school that has biological males playing women's sports shall be eligible for any moneys appropriated by the General Assembly.",MO SB87
1304,section sub chapter  chapter education code is amended by adding sections and to read as follows sec prohibited school library materials and certain performances parental rights regarding school library materials magazine or publication that contains including mutual masturbation or as defined by section business commerce code or uses fake breasts or  fake penis in  manner that simulates  nude performer and and or makeup or physical markers associated with asexually oriented performance toreador perform to minors in any district facility s parent or legal guardian  school districts hall disclose to the parent or legal guardian the title of each material that the student has checked out from the catalog of  school library of the district s bano the ability of  state officer or state agency to in for mothers regarding the prohibitions and duties under this section and the consequences under sections and for violating this section or s eca purchase of library materials from certain vendors prohibited enrollment charter school determines that  material in the catalog of  school library of the district or school is in violation of sec the district or schools hall report to the agency as soon as practicable the material and the vendor from which the district or school purchased the material s internet website  list of vendors reported to the agency under subsection the agency shall update the list not later than the th day after the date the agency receives  report under subsection enrollment charter school may not purchase materials from  vendor on the list described by subsection section this act applies beginning with the school year section this act takes effect immediately if it receives  vote of two thirds of all the members elected to each house as provided by section article   texas constitution if this act does not receive the vote necessary for immediate effect this act takes effect september s bano,"This bill bans all books, performances, and websites that refer to LGBTQ+ topics or identity in schools.	",TX SB1443
1194,applicants to ascribe to dei ideologies or discriminate against applicants who do not ascribe to dei ideologies during the application processor admitted students to study or ascribe to dei ideologies within the students medical institution of higher education ba medical institution of higher education shall publish the titles and syllabi of all mandatory courses seminars classes workshops and training sessions on the institutions website in an online database that is readily searchable by the public ca medical institution of higher education shall not conduct internal dei audits or otherwise engaged ei consultants section medical institutions of higher education shall require  standardized admissions test focused on knowledge and critical thinking around science and medical training as  requirement for admission  before  medical institution of higher education may alter the academic standards for the admission of new students to  healthcare related course of study or for the confer ral of  healthcare related degree or certificate the medical institution of higher education shall submit to the speaker of the senate the speaker of the house of representatives and the tennessee higher education commission copy of the proposed academic standards concise general statement explaining the proposed standards and the proposed effective date of the proposed standards  the proposed standards described in subdivision become effective no earlier than sixty days after the medical institution of higher education has complied with subsection bd the proposed standards described in subdivision do not become effective if within sixty days of receiving the information required in subdivision the general assembly passes and the governor approves  joint resolution expressly disapproving the proposed standards if such  resolution is passed and approved then the proposed standards are null and void and of no effect section healthcare related professional licensing boards shall not adopt or impose as  condition of obtaining or renewing licenses any incentives or requirements that applicants forli censures undergo demonstrate familiarity with or support any dei training education material or program  organizations that issue state required healthcare related professional licenses and certifications shall not used ei material or required ei training as part of the certification process  healthcare related professional licensing boards and organizations that issue healthcare related professional licenses and certifications shall not conduct internal dei audits or otherwise engaged ei consultants section all medical providers and medical institutions of higher education shall certify to the state board of medical examiners on an annual basis by december that they do not and will not require their employees contractors volunteers vendors or agents to ascribe to study or be instructed with dei material with respect to state funds section,"This bill prohibits public institutions of higher education offering certain medical and health-related degree or certificate programs, and state contractors, from requiring diversity, equity, and inclusion training and education for purposes of the issuance of a degree, or the approval of a state contract or grant, as applicable.",TN SB603
1598,provided caused to be provided or is about to provide or cause to be provided to his or her employer the attorney general or any state agency charged with protecting healthcare rights of conscience any state agency charged with protecting healthcare rights of conscience the us department of health and human services office of civil rights or any other federal agency charged with protecting healthcare rights of conscience information relating to any violation of or any actor omission the medical practitioner reasonably believes to be  violation of any provision of this article  testified or is about to testify in  proceeding concerning the violation orb assisted or participated or is about to assist or participate in such  proceeding  unless the disclosure is specifically prohibited by law no medical practitioner maybe discriminated against in any manner because the medical practitioner disclosed any information that the medical practitioner reasonably believes evinces any violation of any law rule or regulation any violation of any ethical guidelines for the provision of any medical procedure or service or gross mismanagement  gross waste of funds an abuse of authority practices or methods of treatment that may put patient health at risk or  substantial and specific danger to in tr public health or safety  aboard may not reprimand sanction or revoke or threaten to revoke  license certificate or registration of  healthcare practitioner for engaging in speech or expressive activity protected under the first amendment to the us constitution unless the board demonstrates beyond  reasonable doubt that the practitioners speech was the direct cause of physical harm to  person with whom the healthcare practitioner had  practitioner patient relationship within the years immediately preceding the incident of physical harm the boards hall provide  medical practitioner with any complaints it has received which may result in the revocation of the medical practitioners license certification or registration within seven days after receipt of the complaint the boards hall pay the medical practitioner an administrative penalty of for each day the complaint is not provided to the medical practitioner after the specified days g civil remedies civil action for violation of right of conscience  civil action for damages or injunctive relief or both maybe brought by any medical practitioner healthcare institution or healthcare payer for any violation of any provision of this article any additional burden or expense on another medical practitioner healthcare institution or healthcare payer arising from the exercise of the right of conscience shall not be  defense to any violation of this article however no civil action maybe brought against an individual who declines to use or purchase medical procedure or services from  specific medical practitioner healthcare institution or healthcare payer for exercising the rights granted in g,This bill would prohibit employers from taking corrective action against medical practitioners who refuse to provide any medical service because of a religious or moral objection. This law would allow people to discriminate against patients for any number of reasons.,WV SB517
1514,examiner to conduct the medico legal investigation within  period compatible with the preservation of parts for the purpose of transplantation therapy research or education if an anatomical gift has been or might be made of apart of  decedent whose body is under the jurisdiction of the medical examiner and  postmortem examination is not required or the medical examiner determines that  postmortem examination is required but that the recovery of the part that is the subject of an anatomical gift will not interfere with the examination the medical examiner and procurement organizations hall cooperate in the timely removal of the part from the decedent for the purpose of transplantation therapy research or education if an anatomical gift of apart from the decedent under the jurisdiction of the medical examiner has been or might be made but the medical examiner initially believes that the recovery of the part could interfere with the postmortem investigation into the decedents cause or manner of death the medical examiners hall consult with the procurement organization or physician or technician designated by the procurement organization about the proposed recovery after consultation the medical examiner may allow the recovery following the consultation under subsection in the absence of mutually agreed upon protocols to resolve conflict between the medical examiner and the procurement organization if the medical examiner intends to deny recovery the medical examiner or design  eat the request of the procurement organization may attend the removal procedure for the part before making  final determination not to allow the procurement organization to recover the part during the removal procedure the medical examiner or design ee may allow enrolled copy recovery by the procurement organization to proceed or if the medical examiner or design ee reasonably believes that the part maybe involved in determining the decedents cause or manner of death deny recovery by the procurement organization if the medical examiner or design ee denies recovery under subsection the medical examiner or designees hall explain in  record the specific reasons for not allowing recovery of the part include the specific reasons in the records of the medical examiner and provide  record with the specific reasons to the procurement organization if the medical examiner or design ee allows recovery of apart under subsection or the procurement organization upon requests hall cause the physician or technician who removes the part to provide the medical examiner with  record describing the condition of the part  biopsy  photograph and any other information and observations that would assist in the postmortem examination if  medical examiner or design ee is required to be present at  removal procedure under subsection,"This bill recodifies provisions regarding health care administration and assistance and vital statistics, health data, and the Utah Medical Examiner. The bill also makes technical and corresponding changes.",UT SB39
1340,if the lea determines that the material does not constitute sensitive material under subsection and seeks to preserve student access to the material make written and publicly accessible determination in accordance with  public vote of the local governing board regarding the leas determination including the leas reasoning and an explanation of why the material does not violate subsection is age appropriate and has serious scientific artistic or literary value and bif the lea determines that the material constitutes sensitive material using the standards described in subsection refer the material to the state board for review under subsection including each excerpt that the lea determines violated subsection with the reference to or location of the excerpt and iv notify the individual who challenged the material regarding the outcome of the review including any referral to the state board in accordance with this section except for  challenge under this section using the standards described in subsection include parents who are reflective of the members of the schools community when determining if an instructional material is sensitive material making the determinations described in subsection and refer to the state board any material for which the leah as  documented record of having removed the material using the standards described in subsection no later than days after the day on which the state board receives an leas determination that an instructional material constitutes sensitive material under this section using the standards described in subsection the state boards hall review the leas determination and ii  if the state board ratifies the leas determination notify all least  remove the sensitive material from student access or bif the state board does not ratify the leas determination make  written and publicly accessible determination in accordance with  public vote of the state board as to why the material does not constitute sensitive material under this section including the state boards reasoning notwithstanding the state board having not ratified an leas determination under subsection the leas determination that the material constitutes sensitive material under section shall remain unaffected by the state boards determination pm st sub buff notwithstanding subsection an lea may choose to not engage in  review of an instructional material against which the same individual has triggered three reviews under subsection during the present school year for material that the lea determined through the review process to not constitute sensitive material before the school year each leash all ensure that before  student within the leah as any library classroom or other access to any instructional material that does not conform to the state boards rating standard described in subsection bi the lea,"This bill requires local education agencies (LEAs) to engage in certain review processes when a parent communicates an allegation that an instructional material is prohibited by state law; and publicly vote on and explain a determination to reinstate or preserve student access to challenged instructional material. The bill establishes the precedential effect of LEA and state board determinations and requires the State Board of Education (state board) to: review LEA determinations regarding certain sensitive material. The legislation makes rules, including to establish an age-appropriateness rating system for instructional materials and amends a state board reporting requirement; and makes technical and conforming changes.",UT HB464
676,cards by school board members superintendents and licensed school personnel consistent with the rules and regulations of the mississippi department of finance and administration under section and to conduct an annual comprehensive evaluation of the superintendent of schools consistent with the assessment components of paragraph pp of this section and the assessment benchmarks established by the mississippi school board association to evaluate the success the superintendent has attained in meeting district goals and objectives the superintendents leadership skill and whether or not the superintendent has established appropriate standards for performance is monitoring success and is using data for improvement section section mississippi code of is brought forward as follows hb no hr official hr page dj kw the local school board of every public school districts hall adopt  policy to implement abstinence only or abstinence plus education into its curriculum by june which instruction in those subjects shall be implemented not later than the start of the school year or the local school boards hall adopt the program which has been developed by the mississippi department of human services and the mississippi department of health the state department of education shall approve each districts curriculum for sex related education and shall establish  protocol to be used by districts to provide continuity in teaching the approved curriculum in  manner that is age grade and developmentally appropriate abstinence only education shall remain the state standard for any sex related education taught in the public schools for purposes of this section abstinence only education includes any type of instruction or program which at an appropriate age and grade teaches the social psychological and health gains to be realized by abstaining from sexual activity and the likely negative psychological and physical effects of not abstaining teaches the harmful consequences to the child the childs parents and society that bearing children out of wedlock is likely to produce including the health educational financial and other difficulties the child and his or her parents are likely hb no hr official hr page dj kw to face as well as the inappropriateness of the social and economic burden placed on others teaches that unwanted sexual advances are irresponsible and teaches how to reject sexual advances and how alcohol and drug use increases vulnerability to sexual advances teaches that abstinence from sexual activity before marriage and fidelity within marriage is the only certain way to avoid out of wedlock pregnancy sexually transmitted diseases and related health problems the instruction or program may include,"This bill establishes the ""parents' bill of rights act of 2023"" to establish that a parent's liberty to direct the upbringing, education, health care and mental health of his or her child is a fundamental right. The bill prohibits the state or any political subdivision thereof from substantially burdening a parent's fundamental right without demonstrating that the burden is required by a compelling governmental interest. The bill provides that all parental rights are exclusively reserved to a parent of a child without obstruction by or interference from the state or any political subdivision thereof. The bill provides that abuse or neglect of a child by a parent or the action or decision of a parent that would end life are not authorized by this act and prohibits employees of this state and any political subdivision thereof, except for law enforcement personnel, from encouraging or coercing a child to withhold information from the child's parent. The bill further prohibits such employees from withholding information that is relevant to a child's physical, emotional or mental health from a child's parent",MS HB1480
936,on  tourist oriented directional sign  business establishments hall meet the following standards for business service or activity gas food lodging and camping services must be licensed and approved by the state and local agencies regulating the particular type of business ii provide an acceptable level of service to the public be in continuous operation atleast hours  day days  week including saturday or sunday and iv have  telephone and restroom facilities available for public use recreation services must be licensed and approved by state and local agencies as required by law ii provide to families and the public activities of interest in which people participate for purposes of physical exercise collective amusement or enjoyment of nature such activities may include hiking golfing skiing boating swimming picnicking fishing and horseback riding tourist services must be licensed as required by law ii be open to the public atleast hours  day days  week including saturday or sunday during the normal tourist season and th legislature authorized print version provide  natural recreational historical cultural educational or entertainment activity or unique or unusual commercial or nonprofit activity from which the major portion of income or visitors is derived during normal business seasons from motorists not residing in the immediate area of the activity priority under subsection must be given to businesses that are in continuous operation for months  year each business identified on  tourist oriented directional signs hall provide assurance of its conformity with all applicable laws concerning the provision of public accommodations without regard to race color sex as defined in culture social origin or condition or political or religious ideas bif  business violates any of these laws it loses eligibility for business identification on  tourist oriented directional sign business that owns any outdoor advertising structure in violation of the provisions of title chapter part may not be eligible for business identification on  tourist oriented directional sign for year after the illegal outdoor advertising structure is removed unless the owner voluntarily removes it within days of receiving notification under section section mca is amended to read application for license or motorcycle endorsement each application for  learner license drivers license commercial drivers license or motorcycle endorsement must be made on  form furnished by the department each application must be accompanied by the proper fee and payment of the fee entitles the applicant to not more than three attempts to pass the examination within  period of months from the date of application  voter registration form for mail registration as prescribed by the secretary of state must be attached to each drivers license application if the applicant wishes to register to vote the department shall accept the registration and forward the form to the election administrator,This bill defines sex in Montana law as based on reproductive systems designated at birth and restricts student athletic teams in public schools or public institutions of higher education to their designated sex.,MT SB458
397,charging billing or otherwise soliciting payment from any patient patients representative or insurer for anatomic pathology services if such services are not personally rendered by the licensee or under such licensees direct supervision as used in this subsection anatomic pathology services means the gross or microscopic examination of his to logic processing of human organ tissue or the examination of human cells from fluids aspirates washing  brushing  or smears including blood banking services and subcellular or molecular pathology services performed by or under the supervision of  person licensed to practice medicine and surgery or  clinical laboratory nothing in this subsections hall be construed to prohibit billing for anatomic pathology services by   hospital ba clinical laboratory when samples are transferred between clinical laboratories for the provision of anatomic pathology services orca physician providing services to  patient pursuant to  medical retainer agreement in compliance with ksa and amendments there to when the bill to the patient for such services  identifies the laboratory or physician that performed the services ii discloses in writing to the patient the actual amount charged by the physician or laboratory that performed the service and   is consistent with rules and regulations adopted by the board for appropriate billing standards applicable to such services when furnished under these agreements engaging in conduct that violates patient trust and exploits the licensee patient relationship for personal gain obstructing aboard investigation including but not limited to engaging in one or more of the following acts  falsifying or concealing  material fact  knowingly making or causing to be made any false or misleading statement or writing or  other acts or conduct likely to deceive or defraud the board violating section and amendments there to  false advertisement means any advertisement that is false misleading or deceptive in  material respect in determining whether any advertisement is misleading there shall betaken into account not only representations made or suggested by statement word design device sound or any combination there of but also the extent to which the advertisement fails to reveal facts material in the light of such representations made  advertisement means all representations disseminated in any manner or by any means for the purpose of inducing or that are likely to induce directly or indirectly the purchase of professional services  licensee for purposes of this section and ksa and amendments there to means all persons issued  license permit or special permit pursuant to article of chapter of the kansas statutes annotated and amendments there  of license for purposes of this section and ksa,"This bill would create the Kansas Child Mutilation Prevention Act and would define the crime of unlawful gender reassignment service. The bill lists specific acts that would be considered knowingly performing, or causing to be performed, unlawful gender reassignment service upon a person under 21 years of age for the purpose of attempting to change or affirm the person’s perception of the person’s sex, if that perception is inconsistent with the person’s sex. This bill categorizes unlawful gender reassignment service as a severity level four, person felony. The bill would allow for exceptions in certain cases where a person was born with a medically verifiable disorder of sex development. ",KS SB12
375,the same manner as  school district new paragraph obe subject to and comply with the requirements of section relating to the addition of materials to  school library in the same manner as  school district sec section subsections and code are amended to read as follows each subject to section each school boards hall provide instruction in kindergarten which gives attention to experiences relating to life skills and human growth and development as required in section school districts shall use research provided in section subsection paragraph  to evaluate and upgrade their instructional materials and teaching strategies for human growth and development each school boards hall provide age appropriate and research based instruction in human growth and development including instruction regarding human sexuality self esteem stress management interpersonal relationships domestic abuse hpv and the availability of  vaccine to prevent hpv and acquired immune deficiency syndrome and the prevention and control of disease including sexually transmitted diseases as required in section in grades one seven through twelve sec section code is amended by adding the following new subsection new subsection subject to section each school boards hall provide age appropriate and research based instruction in human growth and development including instruction regarding self esteem stress management interpersonal relationships and domestic abuse in grades one through six sec section subsection paragraphs band s jd code are amended by striking the paragraphs sec section code is amended by adding the following new subsection new subsection each school district is prohibited from administering or conducting  formal examination or survey of  student that is designed to assess the students mental emotional or physical health that is not required by state or federal law without first acquiring the written consent of the students parent or guardian beach school districts hall give written notice to students parent or guardian of an examination or survey of the student required by state or federal law that is designed to assess the students mental emotional or physical health not less than seven days prior to the examination or survey the notices hall include  copy of the examination or survey or  link to an internet site where the parent or guardian may access the examination or survey this subsections hall not apply to  hearing or vision examination sec new section gender identity and sexual activity prohibited instruction as used in this section gender identity means the same as defined in section sexual activity means the same as defined in section school districts hall not provide any program curriculum material test survey questionnaire activity announcement promotion or instruction of any kind relating to gender identity or sexual activity to students in kindergarten through grade five or to students in grade six when grade six is taught in an elementary school sec new section transparency publication of school district information each school districts hall publish all of the following,"The Bill requires the Department of Education (DE) to adopt administrative rules that require school districts, charter schools, and innovation zone schools to periodically review materials currently in their libraries and any material being added to the library for obscene or sexually explicit material. The Bill requires the board of directors of a school district to notify the DE of any book that is removed from a school library because the book is deemed to contain obscene or sexually explicit material. The DE is required to maintain a list of such books, and school districts are prohibited from allowing a student to access a book on the list unless the school district has received prior written consent from the student’s parent or guardian. The Bill also provides for a number of curriculum changes, mostly to human growth and development curriculum. Specifically, the Bill prohibits any instruction by a school district, charter school, or innovation zone school regarding gender identity or human sexuality before grade five, or grade six if grade six is taught in elementary school. The Bill also removes language relating to certain sexually transmitted infections (STIs). In addition, the Bill requires students to pass the United States Citizenship and Immigration Services civics test as part of required United States government classes. The Bill requires school districts, charter schools, and innovation zone schools to obtain prior written consent of a student’s parent or guardian before requiring a student to participate in any survey or formal assessment that is designed to assess a student’s mental, emotional, or physical health, or that would reveal information about the student or student’s parents, including information about political affiliations, mental or psychological problems, sexual behavior, illegal or antisocial behavior, religion, income, and more. The Bill makes an exception for surveys required by State or federal law, but requires schools to provide seven days’ written notice to the student’s parent or guardian before administering such surveys. School districts are also prohibited from releasing information about students without receiving parental consent. The Bill asserts that a parent or guardian bears ultimate responsibility and has the constitutionally protected right to make decisions affecting their minor child, including decisions related to medical care, moral upbringing, religious upbringing, residence, education, and extracurricular activities. This bill requires a school district to notify a student’s parent or guardian if any employee reasonably believes that the student has expressed a gender identity that is different than the biological sex listed on the student’s birth certificate. If the school district is aware of specific threats to student safety that may occur as a result of such a disclosure, the school is not permitted to notify the parents, but is instead required to contact the Department of Health and Human Services. This bill permits the parent or guardian of a student to access and review any school record concerning the parent’s or guardian’s child unless the record is specifically prohibited from being disclosed. This bill prohibits school employees from referring to a student by a name or pronouns that do not correspond to the biological sex listed on the child’s birth certificate without explicit written consent from the student’s parent or guardian. This bill also prohibits school districts from requiring a student to engage in any activity or instruction provided by a guest lecturer or any activity or instruction that involves obscene or sexually explicit material without the explicit written consent of the student’s parent or guardian. Schools are required to provide notice of any such activity or instruction to parents or guardians at least seven days prior to the activity or instruction. Violations of these requirements carry penalties of a written warning for the first violation and a formal review by the Board of Educational Examiners for any subsequent violation. The bill also removes the requirement that students identified as requiring special education who wish to receive private competent instruction receive the permission of the local Area Education Agency (AEAs). This bill allows the parent, guardian, or legal custodian of a student identified as requiring special education to request dual enrollment.",IA SF496
1254,section the heading to chapter health and safety code is amended to read as follows chapter female genital mutilation section the heading to section health and safety code is amended to read as follows sec female genital mutilation prohibited section section health and safety code is amended by amending subsections and and circumcises excises or in fibula tes any part of the labia major  or labia minora or clitoris of another person who is younger than years of age caretaker or legal guardian of another person who is younger than years of age and knowingly consents to or facilitates  procedure described by subsection permits an act described by subdivision to be performed on that person or,This bill provides an exception to the genital mutilation code for surgeries on intersex minors. These procedures are often performed on infants who cannot consent.	,TX SB249
837,distinct areas designated for use by students based on their biological sex to ensure the personal privacy and safety of students every public or private school locker room and shower room designated for student use and which is accessible by multiple students at the sametime shall be designated for and used only by students of the same biological sex at no times hall  student be allowed to access  public school locker room or shower room designated for use by the opposite biological sex student who asserts to school officials that his or her gender is different from his or her biological sex maybe provided with alternative accommodations,"Every interscholastic or intramural athletic team sponsored by certain public or private elementary, secondary and postsecondary schools shall be expressly designated as male, female, or coeducational. No athletic team designated for females shall be open to students of the male sex as assigned at birth. Any student that is deprived of an athletic opportunity or suffers harm as a result of a violation of this act, or is subject to retaliation or adverse action by a school as a result of reporting a violation, shall have a cause of action for injunctive relief and damages as described in the act. Every public school locker room and shower room which is accessible by multiple students at the same time shall be designated for and used only by students of the same biological sex. A student that asserts that his or her gender is different from his or her biological sex shall be provided with an alternative locker room or shower room as provided in the act.",MO SB165
69,section arkansas code title chapter is amended to add an additional sub chapter to read as follows sub chapter free speech rights at state supported institutions of higher education legislative intent the general assembly finds that the first amendment to the united states constitution and article section of the arkansas constitution protect the right of free speech including the speech of students enrolled in state supported institutions of higher education and other members of campus communities student expression and the exchange of ideas is the primary way in which institutions of higher education fulfill educational missions and it is  matter of statewide interest to protect the rights as engrossed s s nl of students and other members of campus communities to exercise their freedom of speech rights on campuses of state supported institutions of higher education while also recognizing the right of those state supported institutions of higher education to enact reasonable restrictions that preserve their ability to fulfill their educational missions definitions as used in this sub chapter campus community means the same as defined in campus forum means an outdoor area of campus as defined in or any non academic and publicly open portion of facility that  state supported institution of higher education has traditionally made available to members of the campus community for expressive purposes expression means any lawful verbal or written means by which an individual may communicate an idea to another individual state supported institution of higher education means the same as defined in and student means any person who is enrolled on  full time or part time basis in  state supported institution of higher education protected expression state supported institution of higher education shall not limit or restrict the expression of  member of the campus community in  campus forum based on the viewpoint of the expression or reaction or opposition from listeners to or observers of the expression except as permitted by the first amendment to the united states constitution and article section of the arkansas constitution or as otherwise permitted under this sub chapter  state supported institution of higher education shall not  bridge the expression of  member of the campus community as engrossed s s nl limitations nothing in this sub chapters hall be interpreted as giving  member of the campus community the right to disrupt previously scheduled or otherwise reserved activity authorizing  member of the campus community to disregard policy of the state supported institution of higher education regarding compliance with state and federal lawson discrimination and harassment or the productive and efficient operation of an instructional or work environment preventing  state supported institution of higher education from prohibiting limiting or restricting expression that is not protected under the first amendment to the united states constitution or article section,"This bill prohibits colleges from regulating free speech in indoor areas on campus, including classrooms and hallways, in addition to the outdoor areas.",AR SB125
97,specified under subsection  of this sections hall be returned to the state or the public school district according to the pro rata share for the per pupil amount each year as determined by the foundation funding amount for the public school district in which the eligible student resides transfers of course payments shall be made by the department on behalf of the responsible public school district in which an eligible student resides to the authorized course provider ba course providers hall receive  per course amount for each eligible student for each eligible student an amount equal toten percent of the per pupil amount according to the pro rata share as determined each year by the foundation funding amount established under allotted per student for the local school district in which an eligible student resides shall remain with the public school district in which the eligible student is enrolled full time funds under subdivision of this sections hall be used to finance any administrative or operational costs to support eligible students enrolled in courses offered by course providers as determined by the state board of education for each eligible student  course providers hall receive as engrossed nl payment for only the courses in which an eligible student is enrolled as determined under this sub chapter the remaining funds for each eligible student up to the maximum amount for the public school district in which the eligible student resides as determined each year by the foundation funding established under allotted per student or the actual tuition and fees as applicable shall remain with the participating public school district in which the student is enrolled course provider may charge an eligible student the cost of tuition in an amount equal to the amount determined by the course provider and reported to the department course providers hall accept the per course amount as the total tuition and fees for an eligible student fifty percent of the amount of tuition to be paid or transferred to  course providers hall be paid or transferred upon eligible student enrollment in  course and fifty percent shall be paid or transferred upon course completion according to the published course length bif an eligible student does not complete  course according to the published course length in which the course provider has received the first payment the course providers hall receive only forty percent rather than the remaining fifty percent of the course amount but only if the eligible student completes the course and receives credit for the course prior to leaving school or graduating from highschool for non completion prior to leaving school or graduating from highschool the course providers hall receive only fifty percent of the amount of tuition paid upon eligible student enrollment in the course the remaining ten percent of the per pupil amount according to the pro rata share as determined each year by foundation,"This bill is a comprehensive education reform bill formally known as the ""LEARNS Act."" This act creates Educational Freedom Accounts, provides new opportunities for students to receive tutoring, implements career ready pathways to a high school diploma, raises teacher pay, and modifies the Philanthropic Investment in Arkansas Kids Program. Money placed in the Educational Freedom Accounts follows the student based on the school the child is enrolled in and is to be used for the child's education. The money placed in the account and used for the child's education is not taxable in the state to either the parent or child. The money placed in the account also cannot be claimed as a tax credit, deduction, exemption, or rebate. SB294 increases the credits available in the first year from $2,000,000 to $6,000,000. Once the credits claimed exceed 90% of the total available in a particular year, SB294 requires the amount of the credit available to increase by 5% for each following year. SB294 contains an emergency clause for the changes to the Philanthropic Investment in Arkansas Kids Program and will be effective on the date of its approval by the Governor; the expiration of the time during which the Governor may veto the bill; or the date the last house overrides the veto.",AR SB294
